County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Harris,201,0001,2010001,4234,1979,980,31.2,74
Harris,201,0002,2010002,4235,4770,2843,24.9,179
Harris,201,0009,2010009,4242,4044,1759,47.8,106
Harris,201,0010,2010010,4243,3587,1735,85.4,201
Harris,201,0011,2010011,4244,3492,1816,76.8,236
Harris,201,0012,2010012,4245,1786,714,31.1,26
Harris,201,0013,2010013,4246,7254,2769,17.1,174
Harris,201,0023,2010023,4256,3628,513,51.3,7
Harris,201,0026,2010026,4259,3563,1827,66.2,251
Harris,201,0027,2010027,4260,5791,3014,71.3,425
Harris,201,0029,2010029,4262,6488,2652,77.6,168
Harris,201,0035,2010035,4268,443,210,43.3,13
Harris,201,0036,2010036,4269,8983,2838,29.4,245
Harris,201,0044,2010044,4277,3799,1989,71.5,158
Harris,201,0045A,2010045A,4278,7763,1572,29.6,49
Harris,201,0045B,2010045B,4279,0,0,0.0,0
Harris,201,0046,2010046,4280,5033,2477,72.6,178
Harris,201,0061,2010061,4295,4465,1274,50.5,66
Harris,201,0062,2010062,4296,4576,2187,89.0,223
Harris,201,0064,2010064,4298,5686,2075,87.7,254
Harris,201,0065,2010065,4299,5238,2167,91.0,284
Harris,201,0066,2010066,4300,2823,1085,76.6,127
Harris,201,0067,2010067,4301,10537,2753,67.1,165
Harris,201,0069,2010069,4303,3430,1303,89.1,114
Harris,201,0072,2010072,4306,4588,1879,81.0,290
Harris,201,0077,2010077,4311,0,0,0.0,0
Harris,201,0078,2010078,4312,3174,1479,80.3,141
Harris,201,0079,2010079,4313,6115,2948,88.9,304
Harris,201,0081,2010081,4315,5727,1841,69.0,166
Harris,201,0083,2010083,4317,5966,2211,17.3,73
Harris,201,0093,2010093,4327,9665,3278,68.8,238
Harris,201,0094,2010094,4328,1978,528,76.7,39
Harris,201,0096,2010096,4330,6487,1296,23.8,38
Harris,201,0099,2010099,4333,5666,2023,35.0,64
Harris,201,0100,2010100,4334,4220,1732,40.3,50
Harris,201,0101,2010101,4335,3625,934,21.7,20
Harris,201,0102,2010102,4336,4267,1899,60.3,108
Harris,201,0105,2010105,4339,6232,2132,74.2,126
Harris,201,0106,2010106,4340,865,233,50.2,1
Harris,201,0107,2010107,4341,5752,1899,56.1,91
Harris,201,0115,2010115,4349,4141,1748,31.4,73
Harris,201,0118,2010118,4352,4150,1160,5.3,39
Harris,201,0134,2010134,4368,3768,1429,44.2,125
Harris,201,0141,2010141,4375,860,220,32.7,8
Harris,201,0142,2010142,4376,2256,875,81.5,70
Harris,201,0150,2010150,4384,3059,1207,12.2,75
Harris,201,0152,2010152,4386,8138,2672,66.9,117
Harris,201,0153,2010153,4387,5556,1754,75.8,117
Harris,201,0154,2010154,4388,4912,2130,85.0,248
Harris,201,0159,2010159,4393,2484,985,12.8,1
Harris,201,0162,2010162,4396,4610,1293,70.5,60
Harris,201,0163,2010163,4397,7048,3043,71.9,275
Harris,201,0166,2010166,4400,2013,1031,37.2,58
Harris,201,0167,2010167,4401,93,56,58.9,1
Harris,201,0170,2010170,4404,5904,1875,48.6,94
Harris,201,0171,2010171,4405,3991,1608,17.1,104
Harris,201,0172,2010172,4406,1543,600,63.0,73
Harris,201,0181,2010181,4415,5135,1967,75.4,117
Harris,201,0184,2010184,4418,2790,988,52.2,91
Harris,201,0185,2010185,4419,4525,1987,41.5,120
Harris,201,0187,2010187,4421,921,313,92.3,18
Harris,201,0188,2010188,4422,4914,1611,62.9,71
Harris,201,0190,2010190,4424,5485,1721,69.8,104
Harris,201,0191,2010191,4425,7021,1393,66.7,56
Harris,201,0196,2010196,4430,721,350,32.0,16
Harris,201,0203,2010203,4437,2487,911,58.9,57
Harris,201,0206,2010206,4440,5080,2665,57.1,167
Harris,201,0207,2010207,4441,1649,1157,61.4,248
Harris,201,0208,2010208,4442,5013,2199,49.2,229
Harris,201,0209,2010209,4443,10921,2311,28.0,67
Harris,201,0211,2010211,4445,8809,2802,57.2,303
Harris,201,0212,2010212,4446,3097,1252,67.7,71
Harris,201,0218,2010218,4452,6362,2278,62.9,407
Harris,201,0221,2010221,4455,6235,2478,61.4,283
Harris,201,0226,2010226,4460,6689,2397,81.8,235
Harris,201,0231,2010231,4465,6632,2217,71.8,173
Harris,201,0241,2010241,4475,8179,2296,53.8,89
Harris,201,0248,2010248,4482,5537,2100,59.1,43
Harris,201,0249,2010249,4483,6363,2667,17.4,118
Harris,201,0250,2010250,4484,4213,1752,22.0,15
Harris,201,0254,2010254,4488,4509,1004,73.4,32
Harris,201,0257,2010257,4491,11527,3078,42.4,108
Harris,201,0261,2010261,4495,5093,1280,72.7,52
Harris,201,0266,2010266,4500,7246,2538,44.1,192
Harris,201,0267,2010267,4501,3639,1337,53.2,68
Harris,201,0275,2010275,4509,4578,1758,25.7,119
Harris,201,0277,2010277,4511,6433,1774,53.7,87
Harris,201,0278,2010278,4512,6757,2394,51.3,205
Harris,201,0279,2010279,4513,4003,1389,35.7,50
Harris,201,0280,2010280,4514,4460,1506,49.7,56
Harris,201,0285,2010285,4519,5334,2550,28.0,269
Harris,201,0289,2010289,4523,3790,1502,55.2,101
Harris,201,0301,2010301,4535,6246,2396,66.0,129
Harris,201,0302,2010302,4536,7384,3185,44.3,176
Harris,201,0308,2010308,4542,4531,1287,42.3,88
Harris,201,0320,2010320,4554,4436,1410,52.5,65
