County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Hays,209,0125,2090125,5461,2339,607,46.6,0
Hays,209,0134,2090134,5464,4289,1087,44.6,0
Hays,209,0227,2090227,5481,5101,1688,37.1,0
Hays,209,0228,2090228,5482,3414,328,39.0,0
Hays,209,0231,2090231,5483,6508,1361,36.5,0
Hays,209,0254,2090254,5486,3348,340,31.5,0
Hays,209,0422,2090422,5512,3045,1535,24.8,0
Hays,209,0423,2090423,5513,3333,1021,38.6,0
Hays,209,0426,2090426,5516,3398,2709,14.3,0
Hays,209,0430,2090430,5517,2040,1293,10.1,0
Hays,209,0432,2090432,5518,2305,1825,14.5,0
Hays,209,0438,2090438,5521,777,147,7.5,0
Hays,209,0442,2090442,5524,4019,2181,6.1,0
Nueces,355,0001,3550001,7148,2495,1237,31.4,0
Nueces,355,0002,3550002,7149,4043,2358,41.4,0
Nueces,355,0003,3550003,7150,5044,3283,39.4,0
Nueces,355,0004,3550004,7151,4327,2365,63.3,0
Nueces,355,0005,3550005,7152,2211,1451,26.9,0
Nueces,355,0006,3550006,7153,5194,3072,23.6,0
Nueces,355,0007,3550007,7154,1361,731,78.5,0
Nueces,355,0008A,3550008A,7155,2985,1085,40.6,0
Nueces,355,0008B,3550008B,7156,40,13,30.8,0
Nueces,355,0008C,3550008C,7157,0,0,0.0,0
Nueces,355,0009,3550009,7158,3220,1907,42.5,0
Nueces,355,0015,3550015,7164,2084,889,61.8,0
Nueces,355,0016,3550016,7165,1521,335,51.0,0
Nueces,355,0017,3550017,7166,5664,2850,52.2,0
Nueces,355,0018,3550018,7167,6027,2917,22.8,0
Nueces,355,0019,3550019,7168,3149,3088,4.9,0
Nueces,355,0020,3550020,7169,5480,2548,70.9,0
Nueces,355,0021,3550021,7170,607,425,16.9,0
Nueces,355,0023,3550023,7172,3206,1935,24.3,0
Nueces,355,0024,3550024,7173,1657,784,74.1,0
Nueces,355,0026,3550026,7175,6851,3800,32.1,0
Nueces,355,0029,3550029,7178,5126,2931,36.2,0
Nueces,355,0030,3550030,7179,239,485,41.6,0
Nueces,355,0031,3550031,7180,1309,618,85.4,0
Nueces,355,0032,3550032,7181,4148,1797,41.7,0
Nueces,355,0033,3550033,7182,2579,1009,52.8,0
Nueces,355,0034,3550034,7183,1111,473,72.7,0
Nueces,355,0038,3550038,7187,355,730,40.3,0
Nueces,355,0039,3550039,7188,1257,620,47.1,0
Nueces,355,0040,3550040,7189,5254,3373,9.0,0
Nueces,355,0041,3550041,7190,864,501,86.8,0
Nueces,355,0042,3550042,7191,545,395,17.2,0
Nueces,355,0043,3550043,7192,1320,569,81.2,0
Nueces,355,0044,3550044,7193,2089,1066,90.5,0
Nueces,355,0045,3550045,7194,1275,623,82.3,0
Nueces,355,0046,3550046,7195,770,359,84.4,0
Nueces,355,0047,3550047,7196,968,505,74.7,0
Nueces,355,0048,3550048,7197,2265,1379,56.7,0
Nueces,355,0049,3550049,7198,1864,975,36.0,0
Nueces,355,0050,3550050,7199,899,489,56.0,0
Nueces,355,0051,3550051,7200,4659,1978,56.3,0
Nueces,355,0052,3550052,7201,1319,871,76.5,0
Nueces,355,0053,3550053,7202,1423,718,82.3,0
Nueces,355,0056,3550056,7205,2610,1169,79.4,0
Nueces,355,0057,3550057,7206,1376,749,73.7,0
Nueces,355,0058,3550058,7207,1512,1209,30.0,0
Nueces,355,0059,3550059,7208,2355,1467,39.0,0
Nueces,355,0060,3550060,7209,1953,1106,88.6,0
Nueces,355,0061,3550061,7210,1744,823,69.6,0
Nueces,355,0062,3550062,7211,1754,919,83.0,0
Nueces,355,0063,3550063,7212,3147,2203,22.6,0
Nueces,355,0064,3550064,7213,1156,890,15.3,0
Nueces,355,0065,3550065,7214,5241,3338,22.6,0
Nueces,355,0066,3550066,7215,2759,1358,57.1,0
Nueces,355,0067,3550067,7216,7594,3069,36.2,0
Nueces,355,0068,3550068,7217,1921,1064,71.7,0
