County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Anderson,1,0001,10001,1,1-Use money /st hwy fund,For Amend 01,,N,390
Anderson,1,0002,10002,2,1-Use money /st hwy fund,For Amend 01,,N,511
Anderson,1,0003,10003,3,1-Use money /st hwy fund,For Amend 01,,N,329
Anderson,1,0004,10004,4,1-Use money /st hwy fund,For Amend 01,,N,345
Anderson,1,0005,10005,5,1-Use money /st hwy fund,For Amend 01,,N,71
Anderson,1,0006,10006,6,1-Use money /st hwy fund,For Amend 01,,N,282
Anderson,1,0007,10007,7,1-Use money /st hwy fund,For Amend 01,,N,182
Anderson,1,0008,10008,8,1-Use money /st hwy fund,For Amend 01,,N,47
Anderson,1,0009,10009,9,1-Use money /st hwy fund,For Amend 01,,N,283
Anderson,1,0010,10010,10,1-Use money /st hwy fund,For Amend 01,,N,141
Anderson,1,0011,10011,11,1-Use money /st hwy fund,For Amend 01,,N,279
Anderson,1,0013,10013,12,1-Use money /st hwy fund,For Amend 01,,N,435
Anderson,1,0015,10015,13,1-Use money /st hwy fund,For Amend 01,,N,211
Anderson,1,0016,10016,14,1-Use money /st hwy fund,For Amend 01,,N,166
Anderson,1,0017,10017,15,1-Use money /st hwy fund,For Amend 01,,N,194
Anderson,1,0018,10018,16,1-Use money /st hwy fund,For Amend 01,,N,444
Anderson,1,0019,10019,17,1-Use money /st hwy fund,For Amend 01,,N,459
Anderson,1,0020,10020,18,1-Use money /st hwy fund,For Amend 01,,N,295
Anderson,1,0021,10021,19,1-Use money /st hwy fund,For Amend 01,,N,383
Anderson,1,0022,10022,20,1-Use money /st hwy fund,For Amend 01,,N,325
Anderson,1,0023,10023,21,1-Use money /st hwy fund,For Amend 01,,N,331
Anderson,1,0024,10024,22,1-Use money /st hwy fund,For Amend 01,,N,235
Anderson,1,0001,10001,1,1-Use money /st hwy fund,Against Amend 01,,N,87
Anderson,1,0002,10002,2,1-Use money /st hwy fund,Against Amend 01,,N,151
Anderson,1,0003,10003,3,1-Use money /st hwy fund,Against Amend 01,,N,80
Anderson,1,0004,10004,4,1-Use money /st hwy fund,Against Amend 01,,N,111
Anderson,1,0005,10005,5,1-Use money /st hwy fund,Against Amend 01,,N,27
Anderson,1,0006,10006,6,1-Use money /st hwy fund,Against Amend 01,,N,60
Anderson,1,0007,10007,7,1-Use money /st hwy fund,Against Amend 01,,N,47
Anderson,1,0008,10008,8,1-Use money /st hwy fund,Against Amend 01,,N,14
Anderson,1,0009,10009,9,1-Use money /st hwy fund,Against Amend 01,,N,109
Anderson,1,0010,10010,10,1-Use money /st hwy fund,Against Amend 01,,N,41
Anderson,1,0011,10011,11,1-Use money /st hwy fund,Against Amend 01,,N,118
Anderson,1,0013,10013,12,1-Use money /st hwy fund,Against Amend 01,,N,108
Anderson,1,0015,10015,13,1-Use money /st hwy fund,Against Amend 01,,N,66
Anderson,1,0016,10016,14,1-Use money /st hwy fund,Against Amend 01,,N,78
Anderson,1,0017,10017,15,1-Use money /st hwy fund,Against Amend 01,,N,65
Anderson,1,0018,10018,16,1-Use money /st hwy fund,Against Amend 01,,N,141
Anderson,1,0019,10019,17,1-Use money /st hwy fund,Against Amend 01,,N,102
Anderson,1,0020,10020,18,1-Use money /st hwy fund,Against Amend 01,,N,80
Anderson,1,0021,10021,19,1-Use money /st hwy fund,Against Amend 01,,N,125
Anderson,1,0022,10022,20,1-Use money /st hwy fund,Against Amend 01,,N,114
Anderson,1,0023,10023,21,1-Use money /st hwy fund,Against Amend 01,,N,101
Anderson,1,0024,10024,22,1-Use money /st hwy fund,Against Amend 01,,N,80
Andrews,3,0001,30001,23,1-Use money /st hwy fund,For Amend 01,,N,265
Andrews,3,0002,30002,24,1-Use money /st hwy fund,For Amend 01,,N,550
Andrews,3,0003,30003,25,1-Use money /st hwy fund,For Amend 01,,N,472
Andrews,3,0004,30004,26,1-Use money /st hwy fund,For Amend 01,,N,334
Andrews,3,0001,30001,23,1-Use money /st hwy fund,Against Amend 01,,N,57
Andrews,3,0002,30002,24,1-Use money /st hwy fund,Against Amend 01,,N,147
Andrews,3,0003,30003,25,1-Use money /st hwy fund,Against Amend 01,,N,94
Andrews,3,0004,30004,26,1-Use money /st hwy fund,Against Amend 01,,N,66
Angelina,5,0001,50001,27,1-Use money /st hwy fund,For Amend 01,,N,128
Angelina,5,0002,50002,28,1-Use money /st hwy fund,For Amend 01,,N,599
Angelina,5,0003,50003,29,1-Use money /st hwy fund,For Amend 01,,N,393
Angelina,5,0004,50004,30,1-Use money /st hwy fund,For Amend 01,,N,447
Angelina,5,0005,50005,31,1-Use money /st hwy fund,For Amend 01,,N,438
Angelina,5,0006,50006,32,1-Use money /st hwy fund,For Amend 01,,N,142
Angelina,5,0007,50007,33,1-Use money /st hwy fund,For Amend 01,,N,221
Angelina,5,0008,50008,34,1-Use money /st hwy fund,For Amend 01,,N,150
Angelina,5,0009,50009,35,1-Use money /st hwy fund,For Amend 01,,N,67
Angelina,5,0010A,50010A,36,1-Use money /st hwy fund,For Amend 01,,N,273
Angelina,5,0010B,50010B,37,1-Use money /st hwy fund,For Amend 01,,N,33
Angelina,5,0011,50011,38,1-Use money /st hwy fund,For Amend 01,,N,469
Angelina,5,0012,50012,39,1-Use money /st hwy fund,For Amend 01,,N,205
Angelina,5,0013,50013,40,1-Use money /st hwy fund,For Amend 01,,N,164
Angelina,5,0014,50014,41,1-Use money /st hwy fund,For Amend 01,,N,427
Angelina,5,0015,50015,42,1-Use money /st hwy fund,For Amend 01,,N,143
Angelina,5,0016,50016,43,1-Use money /st hwy fund,For Amend 01,,N,520
Angelina,5,0017,50017,44,1-Use money /st hwy fund,For Amend 01,,N,323
Angelina,5,0018,50018,45,1-Use money /st hwy fund,For Amend 01,,N,147
Angelina,5,0019,50019,46,1-Use money /st hwy fund,For Amend 01,,N,341
Angelina,5,0020,50020,47,1-Use money /st hwy fund,For Amend 01,,N,671
Angelina,5,0021,50021,48,1-Use money /st hwy fund,For Amend 01,,N,175
Angelina,5,0022,50022,49,1-Use money /st hwy fund,For Amend 01,,N,385
Angelina,5,0023,50023,50,1-Use money /st hwy fund,For Amend 01,,N,99
Angelina,5,0024,50024,51,1-Use money /st hwy fund,For Amend 01,,N,598
Angelina,5,0025,50025,52,1-Use money /st hwy fund,For Amend 01,,N,503
Angelina,5,0026,50026,53,1-Use money /st hwy fund,For Amend 01,,N,358
Angelina,5,0027,50027,54,1-Use money /st hwy fund,For Amend 01,,N,83
Angelina,5,0028,50028,55,1-Use money /st hwy fund,For Amend 01,,N,244
Angelina,5,0029,50029,56,1-Use money /st hwy fund,For Amend 01,,N,348
Angelina,5,0030,50030,57,1-Use money /st hwy fund,For Amend 01,,N,225
Angelina,5,0031,50031,58,1-Use money /st hwy fund,For Amend 01,,N,101
Angelina,5,0032,50032,59,1-Use money /st hwy fund,For Amend 01,,N,7
Angelina,5,0033,50033,60,1-Use money /st hwy fund,For Amend 01,,N,322
Angelina,5,0034,50034,61,1-Use money /st hwy fund,For Amend 01,,N,478
Angelina,5,0035,50035,62,1-Use money /st hwy fund,For Amend 01,,N,436
Angelina,5,0037,50037,63,1-Use money /st hwy fund,For Amend 01,,N,103
Angelina,5,0038,50038,64,1-Use money /st hwy fund,For Amend 01,,N,91
Angelina,5,0039,50039,65,1-Use money /st hwy fund,For Amend 01,,N,125
Angelina,5,0040,50040,66,1-Use money /st hwy fund,For Amend 01,,N,172
Angelina,5,011B,5011B,67,1-Use money /st hwy fund,For Amend 01,,N,297
Angelina,5,017B,5017B,68,1-Use money /st hwy fund,For Amend 01,,N,111
Angelina,5,0001,50001,27,1-Use money /st hwy fund,Against Amend 01,,N,28
Angelina,5,0002,50002,28,1-Use money /st hwy fund,Against Amend 01,,N,130
Angelina,5,0003,50003,29,1-Use money /st hwy fund,Against Amend 01,,N,90
Angelina,5,0004,50004,30,1-Use money /st hwy fund,Against Amend 01,,N,94
Angelina,5,0005,50005,31,1-Use money /st hwy fund,Against Amend 01,,N,95
Angelina,5,0006,50006,32,1-Use money /st hwy fund,Against Amend 01,,N,31
Angelina,5,0007,50007,33,1-Use money /st hwy fund,Against Amend 01,,N,51
Angelina,5,0008,50008,34,1-Use money /st hwy fund,Against Amend 01,,N,33
Angelina,5,0009,50009,35,1-Use money /st hwy fund,Against Amend 01,,N,15
Angelina,5,0010A,50010A,36,1-Use money /st hwy fund,Against Amend 01,,N,62
Angelina,5,0010B,50010B,37,1-Use money /st hwy fund,Against Amend 01,,N,7
Angelina,5,0011,50011,38,1-Use money /st hwy fund,Against Amend 01,,N,109
Angelina,5,0012,50012,39,1-Use money /st hwy fund,Against Amend 01,,N,48
