County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Chambers,71,0001,710001,1555,State Sen 4,Bunch,,N,3
Chambers,71,0002,710002,1556,State Sen 4,Bunch,,N,2
Chambers,71,0003,710003,1557,State Sen 4,Bunch,,N,4
Chambers,71,0004,710004,1558,State Sen 4,Bunch,,N,31
Chambers,71,0005,710005,1559,State Sen 4,Bunch,,N,26
Chambers,71,0006,710006,1560,State Sen 4,Bunch,,N,25
Chambers,71,0007,710007,1561,State Sen 4,Bunch,,N,18
Chambers,71,0008,710008,1562,State Sen 4,Bunch,,N,3
Chambers,71,0009,710009,1563,State Sen 4,Bunch,,N,4
Chambers,71,0010,710010,1564,State Sen 4,Bunch,,N,2
Chambers,71,0011,710011,1565,State Sen 4,Bunch,,N,6
Chambers,71,0012,710012,1566,State Sen 4,Bunch,,N,13
Chambers,71,0013,710013,1567,State Sen 4,Bunch,,N,0
Chambers,71,0014,710014,1568,State Sen 4,Bunch,,N,13
Chambers,71,0015,710015,1569,State Sen 4,Bunch,,N,5
Chambers,71,0016,710016,1570,State Sen 4,Bunch,,N,3
Chambers,71,0017,710017,1571,State Sen 4,Bunch,,N,2
Chambers,71,0018,710018,1572,State Sen 4,Bunch,,N,4
Chambers,71,0019,710019,1573,State Sen 4,Bunch,,N,3
Chambers,71,0001,710001,1555,State Sen 4,Creighton,,N,4
Chambers,71,0002,710002,1556,State Sen 4,Creighton,,N,13
Chambers,71,0003,710003,1557,State Sen 4,Creighton,,N,10
Chambers,71,0004,710004,1558,State Sen 4,Creighton,,N,143
Chambers,71,0005,710005,1559,State Sen 4,Creighton,,N,63
Chambers,71,0006,710006,1560,State Sen 4,Creighton,,N,93
Chambers,71,0007,710007,1561,State Sen 4,Creighton,,N,72
Chambers,71,0008,710008,1562,State Sen 4,Creighton,,N,30
Chambers,71,0009,710009,1563,State Sen 4,Creighton,,N,7
Chambers,71,0010,710010,1564,State Sen 4,Creighton,,N,18
Chambers,71,0011,710011,1565,State Sen 4,Creighton,,N,21
Chambers,71,0012,710012,1566,State Sen 4,Creighton,,N,40
Chambers,71,0013,710013,1567,State Sen 4,Creighton,,N,0
Chambers,71,0014,710014,1568,State Sen 4,Creighton,,N,40
Chambers,71,0015,710015,1569,State Sen 4,Creighton,,N,19
Chambers,71,0016,710016,1570,State Sen 4,Creighton,,N,31
Chambers,71,0017,710017,1571,State Sen 4,Creighton,,N,12
Chambers,71,0018,710018,1572,State Sen 4,Creighton,,N,17
Chambers,71,0019,710019,1573,State Sen 4,Creighton,,N,28
Chambers,71,0001,710001,1555,State Sen 4,Galloway,,N,1
Chambers,71,0002,710002,1556,State Sen 4,Galloway,,N,2
Chambers,71,0003,710003,1557,State Sen 4,Galloway,,N,4
Chambers,71,0004,710004,1558,State Sen 4,Galloway,,N,59
Chambers,71,0005,710005,1559,State Sen 4,Galloway,,N,10
Chambers,71,0006,710006,1560,State Sen 4,Galloway,,N,47
Chambers,71,0007,710007,1561,State Sen 4,Galloway,,N,8
