County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Chambers,71,0001,710001,1555,697,562,5.3,8
Chambers,71,0002,710002,1556,1016,846,5.6,17
Chambers,71,0003,710003,1557,729,434,10.6,20
Chambers,71,0004,710004,1558,5771,2823,6.9,297
Chambers,71,0005,710005,1559,3627,2036,7.4,114
Chambers,71,0006,710006,1560,2620,1770,12.1,176
Chambers,71,0007,710007,1561,3875,2282,7.4,110
Chambers,71,0008,710008,1562,2623,1328,5.6,39
Chambers,71,0009,710009,1563,565,366,7.7,16
Chambers,71,0010,710010,1564,2181,994,4.1,28
Chambers,71,0011,710011,1565,3547,2132,9.5,43
Chambers,71,0012,710012,1566,2400,1434,4.9,63
Chambers,71,0013,710013,1567,0,0,0.0,0
Chambers,71,0014,710014,1568,1144,820,7.9,82
Chambers,71,0015,710015,1569,4343,2141,17.6,40
Chambers,71,0016,710016,1570,3443,1423,18.2,44
Chambers,71,0017,710017,1571,1445,546,10.3,18
Chambers,71,0018,710018,1572,2703,1072,5.0,29
Chambers,71,0019,710019,1573,3842,1410,9.8,44
Galveston,167,0203,1670203,3877,1450,880,3.9,33
Galveston,167,0204,1670204,3878,1320,891,7.6,34
Harris,201,0097,2010097,4331,5131,2073,10.9,54
Harris,201,0098,2010098,4332,5428,2619,8.1,56
Harris,201,0103,2010103,4337,5438,1574,26.6,11
Harris,201,0199,2010199,4433,4760,3131,9.3,193
Harris,201,0340,2010340,4574,5014,3096,9.8,221
Harris,201,0351,2010351,4585,4607,3188,6.6,172
Harris,201,0357,2010357,4591,5680,3443,8.9,146
Harris,201,0452,2010452,4686,5483,1644,16.0,38
Harris,201,0459,2010459,4693,4995,3985,5.8,275
Harris,201,0469,2010469,4703,4407,2494,6.0,171
Harris,201,0502,2010502,4736,6379,2444,12.6,74
Harris,201,0531,2010531,4765,4307,2252,16.4,51
Harris,201,0546,2010546,4780,3016,2873,4.1,152
Harris,201,0563,2010563,4797,5003,3437,5.6,271
Harris,201,0590,2010590,4824,2732,2151,5.2,241
Harris,201,0604,2010604,4838,5707,2949,5.9,116
Harris,201,0612,2010612,4846,4566,3281,7.6,247
Harris,201,0635,2010635,4869,5500,3333,11.9,148
Harris,201,0636,2010636,4870,3065,1600,6.9,66
Harris,201,0658,2010658,4892,5181,2996,16.1,105
Harris,201,0659,2010659,4893,4756,2535,9.0,82
Harris,201,0670,2010670,4904,4164,3378,5.6,213
Harris,201,0674,2010674,4908,6952,4011,10.7,143
Harris,201,0700,2010700,4935,4263,1952,8.9,63
Harris,201,0735,2010735,4970,6374,1317,18.3,29
Harris,201,0758,2010758,4993,3541,1731,6.8,61
Harris,201,0760,2010760,4995,3175,2087,3.4,113
Harris,201,0820,2010820,5055,2742,881,24.4,9
Harris,201,0825,2010825,5060,5495,1638,27.2,18
Harris,201,0920,2010920,5155,482,269,16.0,15
Harris,201,0921,2010921,5156,417,257,14.0,16
Harris,201,0948,2010948,5183,973,611,10.0,40
Harris,201,0955,2010955,5190,5179,1042,8.1,35
Harris,201,0988,2010988,5223,4818,2008,10.7,49
Harris,201,1008,2011008,5243,2004,944,9.1,20
Harris,201,1016,2011016,5251,5564,3181,11.0,127
Harris,201,1085,2011085,5320,3421,1805,7.3,70
Harris,201,1145,2011145,5380,6339,1271,8.7,41
Harris,201,1146,2011146,5381,4911,1005,6.7,35
Harris,201,1152,2011152,5387,455,226,7.5,5
Harris,201,1171,2011171,5406,3365,1612,7.1,60
Jefferson,245,0001,2450001,6051,3444,1868,5.3,27
Jefferson,245,0002,2450002,6052,1659,1052,8.0,23
Jefferson,245,0003,2450003,6053,3586,2254,3.6,45
Jefferson,245,0004,2450004,6054,2135,1405,4.3,103
Jefferson,245,0005,2450005,6055,2569,1573,5.8,75
Jefferson,245,0006,2450006,6056,2518,1242,8.4,46
Jefferson,245,0007,2450007,6057,2544,1349,7.7,49
Jefferson,245,0008,2450008,6058,1275,1076,2.9,13
Jefferson,245,0009,2450009,6059,5296,3549,6.5,236
Jefferson,245,0010,2450010,6060,1624,825,13.5,13
Jefferson,245,0011,2450011,6061,943,418,4.5,7
Jefferson,245,0012,2450012,6062,662,600,1.0,23
Jefferson,245,0013,2450013,6063,461,449,2.4,9
Jefferson,245,0014,2450014,6064,2845,1574,9.0,33
Jefferson,245,0015,2450015,6065,2684,1440,14.2,23
Jefferson,245,0016,2450016,6066,1141,509,29.7,6
Jefferson,245,0017,2450017,6067,4153,2322,7.8,111
Jefferson,245,0018,2450018,6068,2866,1672,1.3,43
Jefferson,245,0019,2450019,6069,2946,1640,5.7,38
Jefferson,245,0020,2450020,6070,2758,1373,5.4,23
Jefferson,245,0021,2450021,6071,6021,257,2.3,7
Jefferson,245,0022,2450022,6072,4371,2273,6.5,68
Jefferson,245,0023,2450023,6073,2939,1993,3.6,77
Jefferson,245,0024,2450024,6074,639,486,2.3,14
Jefferson,245,0025,2450025,6075,3620,1912,4.5,79
Jefferson,245,0026,2450026,6076,3896,2379,6.9,152
Jefferson,245,0027,2450027,6077,2428,1455,5.6,65
Jefferson,245,0028,2450028,6078,1164,807,2.1,22
Jefferson,245,0029,2450029,6079,2748,1580,4.3,67
Jefferson,245,0030,2450030,6080,1661,1094,4.9,40
Jefferson,245,0031,2450031,6081,1788,1104,4.2,47
Jefferson,245,0032,2450032,6082,335,303,2.0,17
Jefferson,245,0033,2450033,6083,5299,2394,8.6,170
Jefferson,245,0034,2450034,6084,1998,1785,1.5,127
Jefferson,245,0035,2450035,6085,2049,844,6.5,26
Jefferson,245,0036,2450036,6086,2691,1534,5.7,53
Jefferson,245,0037,2450037,6087,3756,2410,6.7,72
Jefferson,245,0038,2450038,6088,3182,2012,6.1,122
Jefferson,245,0039,2450039,6089,2827,2123,1.0,87
Jefferson,245,0040,2450040,6090,4584,2688,7.5,79
Jefferson,245,0041,2450041,6091,276,188,7.4,10
Jefferson,245,0042,2450042,6092,3514,2344,7.6,81
Jefferson,245,0043,2450043,6093,4016,2119,8.0,81
Jefferson,245,0044,2450044,6094,1598,700,17.4,30
Jefferson,245,0045,2450045,6095,3119,1294,26.6,41
Jefferson,245,0046,2450046,6096,2917,1300,23.8,41
Jefferson,245,0047,2450047,6097,3377,1467,20.9,48
Jefferson,245,0048,2450048,6098,2937,1083,32.2,14
Jefferson,245,0049,2450049,6099,1556,481,37.2,5
Jefferson,245,0050,2450050,6100,4559,2532,12.6,53
Jefferson,245,0051,2450051,6101,909,499,11.8,3
Jefferson,245,0052,2450052,6102,663,573,1.6,6
Jefferson,245,0053,2450053,6103,2263,1516,6.6,28
Jefferson,245,0054,2450054,6104,684,584,2.6,8
Jefferson,245,0055,2450055,6105,443,531,3.0,6
Jefferson,245,0056,2450056,6106,4803,2915,7.6,156
Jefferson,245,0057,2450057,6107,1013,1050,1.0,9
Jefferson,245,0058,2450058,6108,807,497,4.8,12
Jefferson,245,0059,2450059,6109,1730,1611,1.2,17
Jefferson,245,0060,2450060,6110,5944,3171,10.6,78
Jefferson,245,0061,2450061,6111,3971,1784,15.5,53
Jefferson,245,0062,2450062,6112,3698,2595,5.4,189
Jefferson,245,0063,2450063,6113,1724,1565,1.9,28
Jefferson,245,0064,2450064,6114,1085,853,6.0,36
Jefferson,245,0065,2450065,6115,2345,1809,4.1,209
Jefferson,245,0066,2450066,6116,2061,1723,6.0,106
Jefferson,245,0067,2450067,6117,4037,2576,3.1,83
Jefferson,245,0068,2450068,6118,3537,2288,4.9,140
Jefferson,245,0069,2450069,6119,5429,3084,8.8,119
Jefferson,245,0070,2450070,6120,4591,2239,8.9,78
Jefferson,245,0071,2450071,6121,417,258,12.4,15
Jefferson,245,0072,2450072,6122,7626,3661,3.8,123
Jefferson,245,0073,2450073,6123,2973,2392,5.3,261
Jefferson,245,0074,2450074,6124,4081,2790,5.9,205
Jefferson,245,0075,2450075,6125,1448,1022,5.5,8
Jefferson,245,0076,2450076,6126,3199,1102,15.2,17
Jefferson,245,0077,2450077,6127,2802,1466,1.8,31
Jefferson,245,0078,2450078,6128,3044,1875,7.5,89
Jefferson,245,0079,2450079,6129,2915,1813,4.4,170
Jefferson,245,0080,2450080,6130,394,240,7.1,7
Jefferson,245,0081,2450081,6131,1139,983,2.7,17
Jefferson,245,0082,2450082,6132,6020,2428,7.8,97
Jefferson,245,0083,2450083,6133,1952,1153,7.3,73
Jefferson,245,0084,2450084,6134,1321,1075,3.1,29
Jefferson,245,0085,2450085,6135,1704,1302,4.1,70
Jefferson,245,0086,2450086,6136,2895,1201,3.7,84
Jefferson,245,0087,2450087,6137,2086,1211,5.0,22
Jefferson,245,0088,2450088,6138,2050,1072,6.3,27
Jefferson,245,0089,2450089,6139,1241,532,4.9,13
Jefferson,245,0090,2450090,6140,73,36,0.0,2
Jefferson,245,0091,2450091,6141,923,551,5.4,8
Jefferson,245,0092,2450092,6142,1681,1038,5.6,26
Jefferson,245,0093,2450093,6143,1890,790,19.2,13
Jefferson,245,0094,2450094,6144,2621,1977,3.9,212
Jefferson,245,0095,2450095,6145,1069,571,8.1,25
Jefferson,245,0096,2450096,6146,1158,545,18.9,14
Jefferson,245,0097,2450097,6147,770,90,7.8,1
Jefferson,245,0098,2450098,6148,1259,275,8.7,10
Jefferson,245,0099,2450099,6149,1479,736,3.9,14
Jefferson,245,0100,2450100,6150,4277,2439,6.0,146
Jefferson,245,0101,2450101,6151,14,22,0.0,1
Jefferson,245,0102,2450102,6152,3737,1,0.0,0
Jefferson,245,0103,2450103,6153,476,204,6.4,9
Jefferson,245,0104,2450104,6154,81,79,5.1,7
Montgomery,339,0001,3390001,6918,7024,2711,15.5,56
Montgomery,339,0002,3390002,6919,4423,1458,13.9,148
Montgomery,339,0003,3390003,6920,5937,2143,7.7,104
Montgomery,339,0004,3390004,6921,3314,1862,9.2,130
Montgomery,339,0006,3390006,6923,6212,3130,5.9,164
Montgomery,339,0007,3390007,6924,3434,1732,8.1,101
Montgomery,339,0009,3390009,6926,2768,1439,4.2,107
Montgomery,339,0010,3390010,6927,7269,2207,31.6,215
Montgomery,339,0011,3390011,6928,3780,1626,7.1,96
Montgomery,339,0012,3390012,6929,6338,1750,23.2,64
Montgomery,339,0013,3390013,6930,3103,1629,5.3,180
Montgomery,339,0014,3390014,6931,7049,2509,23.3,133
Montgomery,339,0015,3390015,6932,5053,2692,4.8,562
Montgomery,339,0016,3390016,6933,7708,3347,7.9,238
Montgomery,339,0018,3390018,6935,6083,2375,8.6,289
Montgomery,339,0020,3390020,6937,5612,2039,27.2,202
Montgomery,339,0021,3390021,6938,7592,2575,8.5,419
Montgomery,339,0024,3390024,6941,4983,1857,7.2,87
Montgomery,339,0025,3390025,6942,3398,1630,7.5,89
Montgomery,339,0026,3390026,6943,8747,2863,15.1,147
Montgomery,339,0027,3390027,6944,4572,2164,10.6,289
Montgomery,339,0028A,3390028A,6945,5499,2731,9.3,200
Montgomery,339,0028B,3390028B,6946,110,41,26.8,5
Montgomery,339,0028C,3390028C,6947,61,26,26.9,3
Montgomery,339,0029,3390029,6948,7202,3580,5.1,532
Montgomery,339,0030,3390030,6949,5190,2648,6.4,352
Montgomery,339,0031,3390031,6950,6151,3775,5.3,422
Montgomery,339,0032,3390032,6951,4848,2510,7.9,198
Montgomery,339,0033,3390033,6952,4482,2366,5.4,218
Montgomery,339,0034,3390034,6953,3531,2565,6.7,233
Montgomery,339,0035,3390035,6954,9130,4537,8.3,347
Montgomery,339,0036,3390036,6955,6723,2814,11.6,106
Montgomery,339,0037,3390037,6956,5977,1891,13.4,74
Montgomery,339,0039,3390039,6958,4273,2321,4.2,164
Montgomery,339,0040,3390040,6959,6621,2568,6.5,501
Montgomery,339,0041,3390041,6960,6501,2928,8.7,223
Montgomery,339,0042,3390042,6961,1629,731,9.2,28
Montgomery,339,0043A,3390043A,6962,4316,1923,4.1,482
Montgomery,339,0043B,3390043B,6963,16,4,25.0,1
Montgomery,339,0043C,3390043C,6964,8,3,0.0,0
Montgomery,339,0043D,3390043D,6965,14,3,0.0,0
Montgomery,339,0043E,3390043E,6966,42,19,10.5,5
Montgomery,339,0044,3390044,6967,5774,2129,14.2,163
Montgomery,339,0045,3390045,6968,3734,2832,7.7,310
Montgomery,339,0046,3390046,6969,6117,1495,11.0,51
Montgomery,339,0047,3390047,6970,4452,2144,15.4,61
Montgomery,339,0048,3390048,6971,3140,2509,4.0,262
Montgomery,339,0049,3390049,6972,3240,2308,7.9,192
Montgomery,339,0051,3390051,6974,6783,2427,15.6,231
Montgomery,339,0052,3390052,6975,9815,3187,11.2,199
Montgomery,339,0053A,3390053A,6976,4531,1715,6.2,239
Montgomery,339,0053B,3390053B,6977,237,112,6.3,8
Montgomery,339,0054,3390054,6978,8752,2569,10.8,228
Montgomery,339,0055,3390055,6979,4025,1095,9.4,67
Montgomery,339,0056,3390056,6980,8196,4070,7.8,214
Montgomery,339,0058,3390058,6982,2995,2503,3.3,292
Montgomery,339,0059,3390059,6983,2100,1632,4.4,181
Montgomery,339,0060,3390060,6984,8597,1344,26.5,124
Montgomery,339,0061,3390061,6985,6462,4469,6.2,306
Montgomery,339,0062,3390062,6986,3547,2724,4.2,261
Montgomery,339,0064,3390064,6989,4880,1929,16.6,71
Montgomery,339,0065,3390065,6990,8296,4174,9.7,444
Montgomery,339,0066,3390066,6991,7260,3405,7.3,283
Montgomery,339,0067,3390067,6992,4069,2722,7.3,268
Montgomery,339,0068,3390068,6993,7869,4161,9.1,179
Montgomery,339,0069,3390069,6994,5821,4112,5.3,289
Montgomery,339,0070,3390070,6995,3566,2744,4.8,270
Montgomery,339,0071,3390071,6996,6887,4383,6.6,316
Montgomery,339,0073,3390073,6998,3002,1292,8.4,129
Montgomery,339,0074,3390074,6999,5440,1314,15.2,121
Montgomery,339,0075,3390075,7000,6728,3695,5.1,428
Montgomery,339,0076,3390076,7001,6045,2678,3.7,319
Montgomery,339,0078,3390078,7003,7079,4511,5.4,420
Montgomery,339,0079,3390079,7004,3523,2128,7.6,145
Montgomery,339,0080A,3390080A,7005,6836,3283,9.2,146
Montgomery,339,0080B,3390080B,7006,200,97,9.3,4
Montgomery,339,0081,3390081,7007,5528,3092,5.8,257
Montgomery,339,0082,3390082,7008,5886,1817,11.2,131
Montgomery,339,0084,3390084,7010,10209,3817,9.0,150
Montgomery,339,0086,3390086,7012,4048,2155,7.2,208
Montgomery,339,0087,3390087,7013,7756,1053,7.7,40
Montgomery,339,0088A,3390088A,7014,6335,1902,10.8,66
Montgomery,339,0088B,3390088B,7015,34,7,0.0,0
Montgomery,339,0088C,3390088C,7016,0,0,0.0,0
Montgomery,339,0089,3390089,7017,6039,3242,7.0,449
Montgomery,339,0090,3390090,7018,5043,556,7.9,42
Montgomery,339,0091A,3390091A,7019,4994,2429,6.5,312
Montgomery,339,0091B,3390091B,7020,23,8,37.5,1
Montgomery,339,0092,3390092,7021,8298,3835,10.8,129
Montgomery,339,0093,3390093,7022,10936,2346,12.2,121
Montgomery,339,0094,3390094,7023,7448,2940,9.8,212
Montgomery,339,0095,3390095,7024,8349,2971,9.7,121
Montgomery,339,0096,3390096,7025,8156,2519,16.0,132
Montgomery,339,0097,3390097,7026,5544,3071,4.2,399
Montgomery,339,0098,3390098,7027,3784,665,7.1,77
Montgomery,339,0099,3390099,7028,4812,1057,2.6,99
Montgomery,339,0100,3390100,7029,7430,1535,10.0,53
Montgomery,339,0101,3390101,7030,5157,1862,9.0,97
Montgomery,339,0102,3390102,7031,5587,2316,4.9,488
Montgomery,339,0103,3390103,7032,8067,2694,13.6,85
Montgomery,339,0104,3390104,7033,1716,585,6.8,68
Montgomery,339,0106A,3390106A,7035,3468,447,6.9,30
Montgomery,339,0106B,3390106B,7036,78,9,11.1,1
Montgomery,339,0107,3390107,7037,57,36,2.8,3
Montgomery,339,0108,3390108,7038,5062,846,5.6,94
Montgomery,339,0109,3390109,7039,1758,971,5.4,201
Montgomery,339,0110,3390110,7040,3235,1464,8.3,189
Montgomery,339,0111,3390111,7041,4289,1620,15.4,95
Montgomery,339,0112,3390112,7042,3007,1676,6.1,119
Montgomery,339,0113,3390113,7043,5075,2423,6.3,255

