County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bexar,29,1001,291001,254,605,420,51.0,97
Bexar,29,1002,291002,255,1039,623,49.1,63
Bexar,29,1003,291003,256,3399,1566,77.3,180
Bexar,29,1004,291004,257,1689,887,85.2,92
Bexar,29,1005,291005,258,1516,788,87.7,98
Bexar,29,1006,291006,259,4005,2136,90.6,280
Bexar,29,1007,291007,260,2078,1287,89.4,204
Bexar,29,1008,291008,261,2587,1754,59.0,315
Bexar,29,1010,291010,263,910,628,75.5,67
Bexar,29,1011,291011,264,2169,1058,87.9,121
Bexar,29,1012,291012,265,4222,2078,64.5,233
Bexar,29,1013,291013,266,4354,2373,89.5,314
Bexar,29,1014,291014,267,2642,1348,89.7,126
Bexar,29,1015,291015,268,2640,1483,91.9,123
Bexar,29,1016,291016,269,1976,1164,89.1,136
Bexar,29,1017,291017,270,498,210,54.3,29
Bexar,29,1018,291018,271,1888,894,86.4,92
Bexar,29,1019,291019,272,2775,761,75.6,108
Bexar,29,1020,291020,273,2933,1574,74.5,220
Bexar,29,1021,291021,274,3139,1741,87.9,198
Bexar,29,1022,291022,275,1643,957,86.9,108
Bexar,29,1023,291023,276,4531,2612,92.4,261
Bexar,29,1024,291024,277,5007,2876,55.5,302
Bexar,29,1025,291025,278,1416,731,91.1,44
Bexar,29,1026,291026,279,2489,1340,88.3,131
Bexar,29,1028,291028,281,1407,754,84.9,88
Bexar,29,1029,291029,282,3653,1886,87.6,230
Bexar,29,1030,291030,283,485,65,26.2,6
Bexar,29,1031,291031,284,3035,1441,88.4,133
Bexar,29,1032,291032,285,4117,2478,90.2,188
Bexar,29,1033,291033,286,4788,1874,65.0,153
Bexar,29,1035,291035,288,9990,731,10.1,0
Bexar,29,1036,291036,289,6823,3168,53.4,383
Bexar,29,1037,291037,290,5861,2348,66.9,259
Bexar,29,1038,291038,291,6295,2547,65.9,307
Bexar,29,1039,291039,292,8087,2813,81.6,120
Bexar,29,1040,291040,293,5427,2843,88.3,256
Bexar,29,1041,291041,294,4128,2432,88.0,194
Bexar,29,1042,291042,295,1667,1256,91.9,138
Bexar,29,1043,291043,296,2774,1358,69.3,172
Bexar,29,1044,291044,297,3117,2107,90.2,281
Bexar,29,1045,291045,298,7715,2612,86.7,294
Bexar,29,1046,291046,299,4164,1904,86.5,226
Bexar,29,1047,291047,300,3189,1734,85.1,150
Bexar,29,1048,291048,301,3996,2084,82.9,211
Bexar,29,1049,291049,302,5228,2415,84.9,268
Bexar,29,1050,291050,303,1485,786,78.8,84
Bexar,29,1051,291051,304,3743,1916,72.1,267
Bexar,29,1052,291052,305,3632,1877,73.7,197
Bexar,29,1053,291053,306,499,258,72.5,30
Bexar,29,1054,291054,307,4349,2179,78.2,273
Bexar,29,1055,291055,308,3105,1773,47.8,250
Bexar,29,1056,291056,309,7039,1988,82.8,172
Bexar,29,1057,291057,310,5964,1905,57.1,2
Bexar,29,1058,291058,311,5275,2308,66.6,1
Bexar,29,1059,291059,312,1820,271,77.5,14
Bexar,29,1060,291060,313,6077,2561,88.9,206
Bexar,29,1061,291061,314,6261,2341,78.1,146
Bexar,29,1062,291062,315,441,119,64.7,2
Bexar,29,1063,291063,316,4227,1900,64.3,1
Bexar,29,1064,291064,317,2567,1169,67.0,0
Bexar,29,1069,291069,322,1044,419,46.1,93
Bexar,29,1070,291070,323,2528,1038,62.5,83
Bexar,29,1071,291071,324,3394,1708,54.6,184
Bexar,29,1072,291072,325,3382,1642,50.1,156
Bexar,29,1074,291074,327,52,24,75.0,2
Bexar,29,1075,291075,328,6333,1979,76.1,143
Bexar,29,1076,291076,329,5222,2748,52.6,295
Bexar,29,1077,291077,330,2745,1659,87.8,269
Bexar,29,1078,291078,331,924,494,91.9,47
Bexar,29,1079,291079,332,4942,2109,40.7,173
Bexar,29,1080,291080,333,7340,1875,49.2,120
Bexar,29,1083,291083,336,4093,2648,45.2,284
Bexar,29,1084,291084,337,4461,2071,70.1,223
Bexar,29,1085,291085,338,4158,1632,66.7,165
Bexar,29,1086,291086,339,4311,2229,59.8,378
Bexar,29,1087,291087,340,3780,1479,70.5,147
Bexar,29,1088,291088,341,1646,1004,91.3,104
Bexar,29,1089,291089,342,96,57,91.2,6
Bexar,29,1090,291090,343,0,0,0.0,1
Bexar,29,1091,291091,344,4267,1742,80.9,167
Bexar,29,1092,291092,345,2744,715,83.1,47
Bexar,29,1093,291093,346,2924,619,36.2,114
Bexar,29,1094,291094,347,6156,1031,62.7,58
Bexar,29,1095,291095,348,881,287,12.5,0
Bexar,29,1096,291096,349,384,41,48.8,3
Bexar,29,1097,291097,350,1488,763,88.1,87
Bexar,29,1098,291098,351,1964,1155,80.3,158
Bexar,29,1099,291099,352,4202,2170,51.8,293
Bexar,29,1100,291100,353,4440,2398,49.1,280
Bexar,29,1101,291101,354,1,1,0.0,0
Bexar,29,1102,291102,355,2115,771,56.5,0
Bexar,29,1104,291104,357,5214,2971,51.3,444
Bexar,29,1105,291105,358,2673,345,69.0,37
Bexar,29,1106,291106,359,0,0,0.0,0
Bexar,29,1109,291109,362,44,3,0.0,0
Bexar,29,1111,291111,364,5452,3124,48.5,404
Bexar,29,1113,291113,366,5119,2014,30.5,229
Bexar,29,1114,291114,367,296,1,100.0,0
Bexar,29,1115,291115,368,2083,1102,84.4,161
Bexar,29,1117,291117,370,638,359,80.2,43
Bexar,29,1119,291119,372,318,137,82.5,10
Bexar,29,1120,291120,373,409,137,92.0,3
Bexar,29,1122A,291122A,375,4489,1729,29.1,0
Bexar,29,1123,291123,377,1340,467,61.9,0
Bexar,29,1124,291124,378,397,224,84.4,28
Bexar,29,1126,291126,380,0,0,0.0,0
Bexar,29,1127,291127,381,1082,601,87.9,50
Bexar,29,1130,291130,384,7,0,0.0,0
Bexar,29,1131,291131,385,0,0,0.0,0
Bexar,29,1132,291132,386,926,516,66.9,56
Bexar,29,1133,291133,387,74,4,0.0,0
Bexar,29,1134,291134,388,17,0,0.0,0
Bexar,29,1135,291135,389,8,0,0.0,0
Bexar,29,1136,291136,390,493,294,51.7,15
Bexar,29,1137,291137,391,0,0,0.0,0
Bexar,29,1138,291138,392,3243,722,49.3,47
Bexar,29,1139,291139,393,3791,980,64.2,62
Bexar,29,1146,291146,400,402,168,61.3,2
Bexar,29,1147,291147,401,4408,2135,50.2,173
Bexar,29,1149,291149,403,4220,1503,54.1,200
Bexar,29,1152,291152,406,1847,1102,43.9,139
Bexar,29,1156,291156,412,4222,2265,36.2,5
Bexar,29,1158,291158,414,2169,498,61.8,32
Bexar,29,1159,291159,415,611,320,83.4,45
Bexar,29,2001,292001,416,2369,745,83.9,52
Bexar,29,2002,292002,417,2105,1210,90.5,177
Bexar,29,2003,292003,418,4510,2074,92.6,188
Bexar,29,2004,292004,419,6181,2653,81.5,225
Bexar,29,2005,292005,420,1545,898,79.6,151
Bexar,29,2006,292006,421,80,16,93.8,3
Bexar,29,2007,292007,422,3491,1647,93.1,187
Bexar,29,2008,292008,423,2202,1086,91.3,132
Bexar,29,2009,292009,424,6076,1728,40.3,105
Bexar,29,2010,292010,425,4015,1491,42.5,195
Bexar,29,2011,292011,426,3686,2060,84.6,185
Bexar,29,2012,292012,427,2990,1469,91.9,129
Bexar,29,2013,292013,428,2175,1160,83.2,182
Bexar,29,2014,292014,429,2078,1176,82.9,181
Bexar,29,2015,292015,430,3683,1865,91.8,132
Bexar,29,2016,292016,431,2526,1325,93.1,107
Bexar,29,2017,292017,432,2364,1204,92.3,84
Bexar,29,2018,292018,433,1764,1052,89.3,217
Bexar,29,2019,292019,434,2636,1397,92.8,81
Bexar,29,2020,292020,435,9367,3761,77.3,278
Bexar,29,2021,292021,436,5490,2559,90.0,208
Bexar,29,2022,292022,437,2866,1549,89.7,153
Bexar,29,2023,292023,438,3841,2807,80.8,357
Bexar,29,2024,292024,439,4262,1666,80.1,234
Bexar,29,2025,292025,440,4480,2263,76.9,388
Bexar,29,2026,292026,441,3691,2019,56.6,395
Bexar,29,2027,292027,442,2028,1183,62.8,293
Bexar,29,2028,292028,443,3078,1943,61.2,500
Bexar,29,2029,292029,444,3279,1245,90.2,146
Bexar,29,2030,292030,445,3001,1500,90.9,112
Bexar,29,2031,292031,446,3888,1501,89.3,170
Bexar,29,2032,292032,447,1158,478,90.6,77
Bexar,29,2033,292033,448,4272,789,68.2,73
Bexar,29,2034,292034,449,3012,1191,56.0,58
Bexar,29,2035,292035,450,1606,1251,47.9,288
Bexar,29,2036,292036,451,1917,1459,25.4,424
Bexar,29,2037,292037,452,1945,1431,37.5,305
Bexar,29,2038,292038,453,1922,1202,45.2,281
Bexar,29,2039,292039,454,2193,1263,74.3,222
Bexar,29,2040,292040,455,4831,2336,69.9,368
Bexar,29,2041,292041,456,4356,2659,81.9,430
Bexar,29,2042,292042,457,4245,1959,85.2,179
Bexar,29,2043,292043,458,2337,1195,87.0,77
Bexar,29,2044,292044,459,5315,2291,86.2,154
Bexar,29,2045,292045,460,1497,1069,62.8,311
Bexar,29,2046,292046,461,2445,1773,71.8,547
Bexar,29,2047,292047,462,2541,1524,68.9,361
Bexar,29,2048,292048,463,3665,1638,82.8,114
Bexar,29,2049,292049,464,5639,2794,74.5,369
Bexar,29,2050,292050,465,3103,1719,64.9,307
Bexar,29,2051,292051,466,1312,518,48.6,67
Bexar,29,2052,292052,467,2037,966,84.4,73
Bexar,29,2053,292053,468,1972,1124,76.6,126
Bexar,29,2054,292054,469,2957,1840,57.2,351
Bexar,29,2055,292055,470,3116,1699,15.4,203
Bexar,29,2056,292056,471,2438,1319,76.7,168
Bexar,29,2057,292057,472,4521,2135,83.7,258
Bexar,29,2058,292058,473,4294,2081,79.4,242
Bexar,29,2059,292059,474,4858,2078,75.1,257
Bexar,29,2060,292060,475,3014,1478,68.4,251
Bexar,29,2061,292061,476,2015,958,40.6,0
Bexar,29,2062,292062,477,1714,1068,64.6,195
Bexar,29,2063,292063,478,2469,1302,28.6,1
Bexar,29,2064,292064,479,3969,2146,62.4,340
Bexar,29,2066,292066,482,4872,3482,36.6,605
Bexar,29,2067,292067,483,361,266,65.4,62
Bexar,29,2068,292068,484,5538,3784,42.2,623
Bexar,29,2069,292069,485,6117,2506,55.5,250
Bexar,29,2070,292070,486,4060,2093,90.8,260
Bexar,29,2071,292071,487,1711,888,89.9,87
Bexar,29,2072,292072,488,4933,2984,46.0,354
Bexar,29,2073,292073,489,2388,1177,67.0,116
Bexar,29,2074,292074,490,1976,1133,92.0,61
Bexar,29,2075,292075,491,2372,1085,79.4,99
Bexar,29,2076,292076,492,3491,2198,43.6,285
Bexar,29,2077,292077,493,3297,2110,45.2,317
Bexar,29,2078,292078,494,4382,2327,59.6,226
Bexar,29,2079,292079,495,1633,679,91.0,55
Bexar,29,2080,292080,496,2705,1295,66.1,143
Bexar,29,2081,292081,497,1437,810,66.2,139
Bexar,29,2082,292082,498,3443,1391,66.4,193
Bexar,29,2083,292083,499,1043,638,66.8,175
Bexar,29,2084,292084,500,4320,3270,28.7,773
Bexar,29,2085,292085,501,2652,1305,71.3,196
Bexar,29,2086,292086,502,5054,2884,42.8,468
Bexar,29,2087,292087,503,2414,1630,41.3,327
Bexar,29,2088,292088,504,5949,3545,51.5,445
Bexar,29,2089,292089,505,1015,517,90.9,35
Bexar,29,2090,292090,506,4807,1681,49.8,121
Bexar,29,2091,292091,507,5619,2534,40.7,216
