County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bexar,29,1001,291001,254,605,420,51.0,50
Bexar,29,1003,291003,256,3399,1566,77.3,84
Bexar,29,1008,291008,261,2587,1754,59.0,158
Bexar,29,1010,291010,263,910,628,75.5,31
Bexar,29,1098,291098,351,1964,1155,80.3,66
Bexar,29,1126,291126,380,0,0,0.0,0
Bexar,29,2001,292001,416,2369,745,83.9,31
Bexar,29,2002,292002,417,2105,1210,90.5,52
Bexar,29,2010,292010,425,4015,1491,42.5,79
Bexar,29,2018,292018,433,1764,1052,89.3,80
Bexar,29,2031,292031,446,3888,1501,89.3,62
Bexar,29,2033,292033,448,4272,789,68.2,27
Bexar,29,2034,292034,449,3012,1191,56.0,16
Bexar,29,2035,292035,450,1606,1251,47.9,220
Bexar,29,2036,292036,451,1917,1459,25.4,277
Bexar,29,2038,292038,453,1922,1202,45.2,196
Bexar,29,2039,292039,454,2193,1263,74.3,116
Bexar,29,2051,292051,466,1312,518,48.6,26
Bexar,29,2052,292052,467,2037,966,84.4,23
Bexar,29,2053,292053,468,1972,1124,76.6,46
Bexar,29,2054,292054,469,2957,1840,57.2,220
Bexar,29,2055,292055,470,3116,1699,15.4,117
Bexar,29,2056,292056,471,2438,1319,76.7,72
Bexar,29,2057,292057,472,4521,2135,83.7,124
Bexar,29,2058,292058,473,4294,2081,79.4,98
Bexar,29,2059,292059,474,4858,2078,75.1,0
Bexar,29,2062,292062,477,1714,1068,64.6,71
Bexar,29,2064,292064,479,3969,2146,62.4,155
Bexar,29,2067,292067,483,361,266,65.4,31
Bexar,29,2070,292070,486,4060,2093,90.8,111
Bexar,29,2073,292073,489,2388,1177,67.0,63
Bexar,29,2080,292080,496,2705,1295,66.1,58
Bexar,29,2082,292082,498,3443,1391,66.4,100
Bexar,29,2085,292085,501,2652,1305,71.3,102
Bexar,29,2092,292092,508,992,489,45.2,31
Bexar,29,2094,292094,510,194,144,4.9,21
Bexar,29,2100,292100,516,2282,1283,63.8,63
Bexar,29,2104,292104,520,475,217,77.4,10
Bexar,29,2109,292109,525,0,0,0.0,0
Bexar,29,2114,292114,530,5527,2104,58.5,127
Bexar,29,2116,292116,532,0,0,0.0,0
Bexar,29,2117,292117,533,1647,574,86.1,32
Bexar,29,2121,292121,537,913,549,65.0,13
Bexar,29,2129,292129,545,0,0,0.0,0
Bexar,29,2131,292131,547,846,262,40.5,3
Bexar,29,2132,292132,548,0,3,0.0,0
Bexar,29,2135,292135,551,1648,660,66.4,17
Bexar,29,2137,292137,553,1983,1060,45.9,91
Bexar,29,2138,292138,554,2185,886,47.5,68
Bexar,29,2144,292144,560,2874,1705,52.1,165
Bexar,29,2146,292146,562,255,81,48.1,3
Bexar,29,2150,292150,566,30,8,75.0,0
Bexar,29,2152,292152,568,1100,626,72.2,36
Bexar,29,2155,292155,571,0,0,0.0,0
Bexar,29,3006,293006,613,1342,1044,30.7,170
Bexar,29,3011,293011,618,1220,1002,26.8,177
Bexar,29,3013,293013,620,2826,1754,37.5,187
Bexar,29,3014,293014,621,795,515,35.1,52
Bexar,29,3015,293015,622,2876,1701,48.2,164
Bexar,29,3024,293024,631,0,0,0.0,0
Bexar,29,3031,293031,638,50,22,40.9,0
Bexar,29,3038,293038,645,1553,1181,37.3,194
Bexar,29,3041,293041,648,637,685,25.1,110
Bexar,29,3054,293054,661,228,169,47.3,7
Bexar,29,3064,293064,671,564,407,29.5,29
Bexar,29,3066,293066,673,2542,1859,31.6,197
Bexar,29,3067,293067,674,1788,1462,24.6,186
Bexar,29,3068,293068,675,5998,2250,42.3,47
Bexar,29,3069,293069,676,4562,2839,25.3,254
Bexar,29,3071,293071,678,4087,2412,36.6,253
Bexar,29,3111,293111,718,0,1,0.0,0
Bexar,29,3113,293113,720,2176,1030,33.9,22
Bexar,29,3132,293132,739,3373,1410,35.9,28
Bexar,29,3133,293133,740,0,0,0.0,0
Bexar,29,3140,293140,749,57,34,70.6,1
Bexar,29,3147,293147,756,119,36,13.9,2
Bexar,29,3161,293161,770,5586,2594,34.2,114
Bexar,29,3166,293166,775,875,477,32.7,73
Bexar,29,3167,293167,776,50,5,100.0,0
Bexar,29,3171,293171,780,0,0,0.0,0
Bexar,29,3175,293175,784,821,558,35.1,49
Bexar,29,3182,293182,791,951,762,29.8,78
Bexar,29,3204,293204,813,4,0,0.0,0
Bexar,29,4001,294001,815,3564,1258,33.5,110
Bexar,29,4002,294002,816,1901,931,74.9,18
Bexar,29,4006,294006,820,833,404,57.4,10
Bexar,29,4007,294007,821,7421,1620,11.9,0
Bexar,29,4014,294014,828,820,466,81.3,15
Bexar,29,4015,294015,829,2949,1653,71.5,141
Bexar,29,4017,294017,831,3099,1929,50.9,169
Bexar,29,4018,294018,832,1233,952,34.9,161
Bexar,29,4075,294075,889,1037,613,78.0,35
Bexar,29,4128,294128,942,219,106,35.8,7
Bexar,29,4155,294155,969,3435,2209,59.8,279
Bexar,29,4157,294157,971,2514,1639,68.7,145
Bexar,29,4211,294211,1025,43,28,32.1,3
Bexar,29,4217,294217,1031,198,67,56.7,5
Bexar,29,4228,294228,1042,964,326,24.8,28

