County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Bexar,29,1001,291001,254,State Sen 26,Martinez Fischer,D,N,31
Bexar,29,1002,291002,255,State Sen 26,Martinez Fischer,D,N,0
Bexar,29,1003,291003,256,State Sen 26,Martinez Fischer,D,N,47
Bexar,29,1004,291004,257,State Sen 26,Martinez Fischer,D,N,15
Bexar,29,1005,291005,258,State Sen 26,Martinez Fischer,D,N,8
Bexar,29,1006,291006,259,State Sen 26,Martinez Fischer,D,N,55
Bexar,29,1007,291007,260,State Sen 26,Martinez Fischer,D,N,31
Bexar,29,1008,291008,261,State Sen 26,Martinez Fischer,D,N,104
Bexar,29,1010,291010,263,State Sen 26,Martinez Fischer,D,N,19
Bexar,29,1012,291012,265,State Sen 26,Martinez Fischer,D,N,36
Bexar,29,1013,291013,266,State Sen 26,Martinez Fischer,D,N,49
Bexar,29,1024,291024,277,State Sen 26,Martinez Fischer,D,N,29
Bexar,29,1029,291029,282,State Sen 26,Martinez Fischer,D,N,45
Bexar,29,1031,291031,284,State Sen 26,Martinez Fischer,D,N,11
Bexar,29,1032,291032,285,State Sen 26,Martinez Fischer,D,N,25
Bexar,29,1033,291033,286,State Sen 26,Martinez Fischer,D,N,12
Bexar,29,1035,291035,288,State Sen 26,Martinez Fischer,D,N,0
Bexar,29,1038,291038,291,State Sen 26,Martinez Fischer,D,N,29
Bexar,29,1043,291043,296,State Sen 26,Martinez Fischer,D,N,15
Bexar,29,1055,291055,308,State Sen 26,Martinez Fischer,D,N,26
Bexar,29,1070,291070,323,State Sen 26,Martinez Fischer,D,N,4
Bexar,29,1071,291071,324,State Sen 26,Martinez Fischer,D,N,20
Bexar,29,1072,291072,325,State Sen 26,Martinez Fischer,D,N,14
Bexar,29,1074,291074,327,State Sen 26,Martinez Fischer,D,N,0
Bexar,29,1076,291076,329,State Sen 26,Martinez Fischer,D,N,36
Bexar,29,1077,291077,330,State Sen 26,Martinez Fischer,D,N,40
Bexar,29,1078,291078,331,State Sen 26,Martinez Fischer,D,N,7
Bexar,29,1079,291079,332,State Sen 26,Martinez Fischer,D,N,16
Bexar,29,1080,291080,333,State Sen 26,Martinez Fischer,D,N,10
Bexar,29,1082,291082,335,State Sen 26,Martinez Fischer,D,N,12
Bexar,29,1084,291084,337,State Sen 26,Martinez Fischer,D,N,45
Bexar,29,1085,291085,338,State Sen 26,Martinez Fischer,D,N,32
Bexar,29,1086,291086,339,State Sen 26,Martinez Fischer,D,N,38
Bexar,29,1087,291087,340,State Sen 26,Martinez Fischer,D,N,21
Bexar,29,1088,291088,341,State Sen 26,Martinez Fischer,D,N,12
Bexar,29,1089,291089,342,State Sen 26,Martinez Fischer,D,N,1
Bexar,29,1093,291093,346,State Sen 26,Martinez Fischer,D,N,18
Bexar,29,1096,291096,349,State Sen 26,Martinez Fischer,D,N,3
Bexar,29,1098,291098,351,State Sen 26,Martinez Fischer,D,N,42
Bexar,29,1099,291099,352,State Sen 26,Martinez Fischer,D,N,33
Bexar,29,1104,291104,357,State Sen 26,Martinez Fischer,D,N,57
Bexar,29,1111,291111,364,State Sen 26,Martinez Fischer,D,N,34
Bexar,29,1112,291112,365,State Sen 26,Martinez Fischer,D,N,10
Bexar,29,1113,291113,366,State Sen 26,Martinez Fischer,D,N,23
Bexar,29,1119,291119,372,State Sen 26,Martinez Fischer,D,N,0
Bexar,29,1120,291120,373,State Sen 26,Martinez Fischer,D,N,1
Bexar,29,1126,291126,380,State Sen 26,Martinez Fischer,D,N,0
Bexar,29,1136,291136,390,State Sen 26,Martinez Fischer,D,N,4
Bexar,29,1138,291138,392,State Sen 26,Martinez Fischer,D,N,4
Bexar,29,1139,291139,393,State Sen 26,Martinez Fischer,D,N,5
Bexar,29,1142,291142,396,State Sen 26,Martinez Fischer,D,N,6
Bexar,29,1147,291147,401,State Sen 26,Martinez Fischer,D,N,16
Bexar,29,1148,291148,402,State Sen 26,Martinez Fischer,D,N,1
Bexar,29,1149,291149,403,State Sen 26,Martinez Fischer,D,N,20
Bexar,29,1152,291152,406,State Sen 26,Martinez Fischer,D,N,11
Bexar,29,1155,291155,411,State Sen 26,Martinez Fischer,D,N,7
Bexar,29,1157,291157,413,State Sen 26,Martinez Fischer,D,N,8
