County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Bexar,29,3140,293140,749,State Rep 120,Thompson,I,N,0
Bexar,29,3205,293205,814,State Rep 120,Thompson,I,N,0
Bexar,29,4003,294003,817,State Rep 120,Thompson,I,N,5
Bexar,29,4004,294004,818,State Rep 120,Thompson,I,N,1
Bexar,29,4005,294005,819,State Rep 120,Thompson,I,N,13
Bexar,29,4007,294007,821,State Rep 120,Thompson,I,N,2
Bexar,29,4008,294008,822,State Rep 120,Thompson,I,N,2
Bexar,29,4009,294009,823,State Rep 120,Thompson,I,N,3
Bexar,29,4010,294010,824,State Rep 120,Thompson,I,N,3
Bexar,29,4011,294011,825,State Rep 120,Thompson,I,N,6
Bexar,29,4012,294012,826,State Rep 120,Thompson,I,N,1
Bexar,29,4030,294030,844,State Rep 120,Thompson,I,N,3
Bexar,29,4035,294035,849,State Rep 120,Thompson,I,N,0
Bexar,29,4036,294036,850,State Rep 120,Thompson,I,N,33
Bexar,29,4037,294037,851,State Rep 120,Thompson,I,N,8
Bexar,29,4039,294039,853,State Rep 120,Thompson,I,N,11
Bexar,29,4040,294040,854,State Rep 120,Thompson,I,N,18
Bexar,29,4041,294041,855,State Rep 120,Thompson,I,N,19
Bexar,29,4042,294042,856,State Rep 120,Thompson,I,N,0
Bexar,29,4044,294044,858,State Rep 120,Thompson,I,N,11
Bexar,29,4045,294045,859,State Rep 120,Thompson,I,N,20
Bexar,29,4047,294047,861,State Rep 120,Thompson,I,N,13
Bexar,29,4049,294049,863,State Rep 120,Thompson,I,N,9
Bexar,29,4050,294050,864,State Rep 120,Thompson,I,N,9
Bexar,29,4051,294051,865,State Rep 120,Thompson,I,N,11
Bexar,29,4052,294052,866,State Rep 120,Thompson,I,N,17
Bexar,29,4053,294053,867,State Rep 120,Thompson,I,N,9
Bexar,29,4059,294059,873,State Rep 120,Thompson,I,N,35
Bexar,29,4060,294060,874,State Rep 120,Thompson,I,N,11
Bexar,29,4061,294061,875,State Rep 120,Thompson,I,N,8
Bexar,29,4063,294063,877,State Rep 120,Thompson,I,N,10
Bexar,29,4064,294064,878,State Rep 120,Thompson,I,N,52
Bexar,29,4065,294065,879,State Rep 120,Thompson,I,N,9
Bexar,29,4066,294066,880,State Rep 120,Thompson,I,N,24
Bexar,29,4070,294070,884,State Rep 120,Thompson,I,N,30
Bexar,29,4076,294076,890,State Rep 120,Thompson,I,N,8
Bexar,29,4080,294080,894,State Rep 120,Thompson,I,N,39
Bexar,29,4082,294082,896,State Rep 120,Thompson,I,N,12
Bexar,29,4088,294088,902,State Rep 120,Thompson,I,N,29
Bexar,29,4090,294090,904,State Rep 120,Thompson,I,N,21
Bexar,29,4091,294091,905,State Rep 120,Thompson,I,N,3
Bexar,29,4092,294092,906,State Rep 120,Thompson,I,N,19
Bexar,29,4106,294106,920,State Rep 120,Thompson,I,N,5
Bexar,29,4107,294107,921,State Rep 120,Thompson,I,N,4
Bexar,29,4110,294110,924,State Rep 120,Thompson,I,N,3
Bexar,29,4111,294111,925,State Rep 120,Thompson,I,N,0
Bexar,29,4112,294112,926,State Rep 120,Thompson,I,N,10
Bexar,29,4113,294113,927,State Rep 120,Thompson,I,N,5
Bexar,29,4114,294114,928,State Rep 120,Thompson,I,N,0
Bexar,29,4119,294119,933,State Rep 120,Thompson,I,N,1
Bexar,29,4120,294120,934,State Rep 120,Thompson,I,N,0
Bexar,29,4122,294122,936,State Rep 120,Thompson,I,N,0
