County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Fort Bend,157,2017,1572017,3663,Houston Mayor,Baker,,N,1
Fort Bend,157,2023,1572023,3666,Houston Mayor,Baker,,N,1
Fort Bend,157,2031,1572031,3669,Houston Mayor,Baker,,N,1
Fort Bend,157,2036,1572036,3672,Houston Mayor,Baker,,N,1
Fort Bend,157,2050,1572050,3673,Houston Mayor,Baker,,N,0
Fort Bend,157,2051,1572051,3674,Houston Mayor,Baker,,N,2
Fort Bend,157,2052,1572052,3675,Houston Mayor,Baker,,N,0
Fort Bend,157,2055,1572055,3676,Houston Mayor,Baker,,N,1
Fort Bend,157,2056,1572056,3677,Houston Mayor,Baker,,N,1
Fort Bend,157,2081,1572081,3685,Houston Mayor,Baker,,N,0
Fort Bend,157,2116,1572116,3698,Houston Mayor,Baker,,N,5
Fort Bend,157,2123,1572123,3701,Houston Mayor,Baker,,N,1
Fort Bend,157,3043,1573043,3718,Houston Mayor,Baker,,N,1
Fort Bend,157,2017,1572017,3663,Houston Mayor,Boykins,,N,99
Fort Bend,157,2023,1572023,3666,Houston Mayor,Boykins,,N,39
Fort Bend,157,2031,1572031,3669,Houston Mayor,Boykins,,N,85
Fort Bend,157,2036,1572036,3672,Houston Mayor,Boykins,,N,32
Fort Bend,157,2050,1572050,3673,Houston Mayor,Boykins,,N,0
Fort Bend,157,2051,1572051,3674,Houston Mayor,Boykins,,N,89
Fort Bend,157,2052,1572052,3675,Houston Mayor,Boykins,,N,82
Fort Bend,157,2055,1572055,3676,Houston Mayor,Boykins,,N,31
Fort Bend,157,2056,1572056,3677,Houston Mayor,Boykins,,N,8
Fort Bend,157,2081,1572081,3685,Houston Mayor,Boykins,,N,0
Fort Bend,157,2116,1572116,3698,Houston Mayor,Boykins,,N,90
Fort Bend,157,2123,1572123,3701,Houston Mayor,Boykins,,N,56
Fort Bend,157,3043,1573043,3718,Houston Mayor,Boykins,,N,7
