County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Bexar,29,1072,291072,325,State Rep 125,Rangel,R,N,33
Bexar,29,1088,291088,341,State Rep 125,Rangel,R,N,14
Bexar,29,2011,292011,426,State Rep 125,Rangel,R,N,13
Bexar,29,2012,292012,427,State Rep 125,Rangel,R,N,14
Bexar,29,2015,292015,430,State Rep 125,Rangel,R,N,9
Bexar,29,2016,292016,431,State Rep 125,Rangel,R,N,4
Bexar,29,2017,292017,432,State Rep 125,Rangel,R,N,6
Bexar,29,2019,292019,434,State Rep 125,Rangel,R,N,13
Bexar,29,2020,292020,435,State Rep 125,Rangel,R,N,21
Bexar,29,2021,292021,436,State Rep 125,Rangel,R,N,37
Bexar,29,2022,292022,437,State Rep 125,Rangel,R,N,16
Bexar,29,2023,292023,438,State Rep 125,Rangel,R,N,26
Bexar,29,2024,292024,439,State Rep 125,Rangel,R,N,41
Bexar,29,2029,292029,444,State Rep 125,Rangel,R,N,4
Bexar,29,2030,292030,445,State Rep 125,Rangel,R,N,14
Bexar,29,2032,292032,447,State Rep 125,Rangel,R,N,3
Bexar,29,2037,292037,452,State Rep 125,Rangel,R,N,133
Bexar,29,2040,292040,455,State Rep 125,Rangel,R,N,69
Bexar,29,2041,292041,456,State Rep 125,Rangel,R,N,53
Bexar,29,2042,292042,457,State Rep 125,Rangel,R,N,20
Bexar,29,2049,292049,464,State Rep 125,Rangel,R,N,78
Bexar,29,2050,292050,465,State Rep 125,Rangel,R,N,75
Bexar,29,2061,292061,476,State Rep 125,Rangel,R,N,33
Bexar,29,2066,292066,482,State Rep 125,Rangel,R,N,225
Bexar,29,2069,292069,485,State Rep 125,Rangel,R,N,92
Bexar,29,2071,292071,487,State Rep 125,Rangel,R,N,2
Bexar,29,2074,292074,490,State Rep 125,Rangel,R,N,9
Bexar,29,2076,292076,492,State Rep 125,Rangel,R,N,127
Bexar,29,2077,292077,493,State Rep 125,Rangel,R,N,124
Bexar,29,2079,292079,495,State Rep 125,Rangel,R,N,7
Bexar,29,2084,292084,500,State Rep 125,Rangel,R,N,416
Bexar,29,2086,292086,502,State Rep 125,Rangel,R,N,150
Bexar,29,2087,292087,503,State Rep 125,Rangel,R,N,163
Bexar,29,2089,292089,505,State Rep 125,Rangel,R,N,1
Bexar,29,2090,292090,506,State Rep 125,Rangel,R,N,39
Bexar,29,2099,292099,515,State Rep 125,Rangel,R,N,108
Bexar,29,2101,292101,517,State Rep 125,Rangel,R,N,11
Bexar,29,2103,292103,519,State Rep 125,Rangel,R,N,0
Bexar,29,2108,292108,524,State Rep 125,Rangel,R,N,111
Bexar,29,2112,292112,528,State Rep 125,Rangel,R,N,108
Bexar,29,2126,292126,542,State Rep 125,Rangel,R,N,45
Bexar,29,2128,292128,544,State Rep 125,Rangel,R,N,19
Bexar,29,2130,292130,546,State Rep 125,Rangel,R,N,76
