County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Dallas,113,4518,1134518,2825,6621,2117,33.7,25
Dallas,113,4605,1134605,2857,5577,2589,30.6,0
Dallas,113,4608,1134608,2860,8592,3735,16.2,297
Dallas,113,4609,1134609,2861,6371,2123,29.7,70
Dallas,113,4621,1134621,2873,8997,3815,17.3,496
Dallas,113,4622,1134622,2874,3982,2021,26.1,204
Dallas,113,4628,1134628,2880,5574,2244,12.3,80
Dallas,113,4632,1134632,2884,5111,1973,10.6,119
Dallas,113,4644,1134644,2891,58,14,0.0,0
Dallas,113,4648,1134648,2893,6507,2397,12.2,106
Dallas,113,4673,1134673,2911,0,0,0.0,0
Dallas,113,4674,1134674,2912,0,0,0.0,0
Dallas,113,4677,1134677,2914,2049,520,2.1,29
Dallas,113,4678,1134678,2915,371,117,12.0,7
Denton,121,1001,1211001,2937,2463,1553,8.0,0
Denton,121,1002,1211002,2938,340,220,6.4,0
Denton,121,1003,1211003,2939,3022,1928,8.1,0
Denton,121,1004,1211004,2940,5274,3169,10.9,0
Denton,121,1005,1211005,2941,15,4,50.0,0
Denton,121,1006,1211006,2942,11,5,0.0,0
Denton,121,1007,1211007,2943,1803,1371,6.1,12
Denton,121,1008,1211008,2944,5846,3646,9.9,0
Denton,121,1010,1211010,2946,5271,3623,5.9,0
Denton,121,1055,1211055,2990,1492,987,5.5,0
Denton,121,1056,1211056,2991,1964,1179,12.9,229
Denton,121,1057,1211057,2992,2134,794,28.0,90
Denton,121,1058,1211058,2993,4796,2643,9.3,295
Denton,121,1059,1211059,2994,3584,2773,10.2,707
Denton,121,1060,1211060,2995,1872,1342,7.1,409
Denton,121,1061,1211061,2996,5304,3286,14.9,586
Denton,121,1062,1211062,2997,3761,2518,9.8,667
Denton,121,1063,1211063,2998,2718,1786,8.8,358
Denton,121,1064,1211064,2999,3566,2843,7.0,1093
Denton,121,1065,1211065,3000,2262,1211,11.1,143
Denton,121,1066,1211066,3001,418,226,5.3,27
Denton,121,2067,1212067,3005,4853,1989,22.0,226
Denton,121,2068,1212068,3006,6944,3936,10.9,0
Denton,121,2069,1212069,3007,4178,2686,9.8,321
Denton,121,2070,1212070,3008,273,142,9.9,25
Denton,121,2071,1212071,3009,5759,4424,6.5,0
Denton,121,3154,1213154,3092,3803,3121,4.3,0
