County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Archer,9,0001,90001,75,1984,1391,3.7,166
Archer,9,0002,90002,76,1060,775,2.3,136
Archer,9,0003,90003,77,528,380,6.1,66
Archer,9,0004,90004,78,911,656,7.2,106
Archer,9,0005,90005,79,211,176,0.6,38
Archer,9,0006,90006,80,1595,1181,3.0,226
Archer,9,0007,90007,81,292,232,3.0,41
Archer,9,0008,90008,82,371,334,3.6,55
Archer,9,0009,90009,83,191,146,0.7,25
Archer,9,0010,90010,84,1088,811,3.2,152
Archer,9,0011,90011,85,27,29,31.0,3
Archer,9,0012,90012,86,113,87,0.0,10
Archer,9,0013,90013,87,189,142,0.0,25
Clay,77,0001,770001,1603,1496,1080,2.9,168
Clay,77,0006,770006,1604,625,433,2.8,52
Clay,77,0008,770008,1605,1245,923,2.9,165
Clay,77,0009,770009,1606,519,372,2.2,64
Clay,77,0010,770010,1607,354,275,2.5,44
Clay,77,0011,770011,1608,1206,952,4.3,128
Clay,77,0012,770012,1609,451,317,5.7,44
Clay,77,0013,770013,1610,174,161,3.7,48
Clay,77,0014,770014,1611,227,166,3.0,35
Clay,77,0015,770015,1612,570,313,1.0,45
Clay,77,0017,770017,1613,1141,992,2.8,170
Clay,77,0020,770020,1614,589,449,2.0,61
Clay,77,0024,770024,1615,459,327,1.2,62
Clay,77,0026,770026,1616,238,179,3.9,29
Clay,77,0027,770027,1617,648,512,2.9,58
Clay,77,0032,770032,1618,276,241,2.9,31
Collin,85,0004,850004,1637,3558,1850,4.4,182
Collin,85,0008,850008,1641,5813,2797,14.7,145
Collin,85,0009,850009,1642,5686,4265,12.8,214
Collin,85,0010,850010,1643,1061,685,7.3,46
Collin,85,0011,850011,1644,7059,3682,10.3,326
Collin,85,0013,850013,1646,2136,1062,4.8,110
Collin,85,0016,850016,1649,6289,3218,6.1,268
Collin,85,0017,850017,1650,6552,3236,9.4,334
Collin,85,0018,850018,1651,1478,843,7.8,88
Collin,85,0020,850020,1653,1099,827,6.9,94
Collin,85,0022,850022,1655,6397,3696,8.4,494
Collin,85,0027,850027,1660,4480,2595,11.8,130
Collin,85,0029,850029,1662,4679,1952,6.0,179
Collin,85,0033,850033,1666,6821,3900,9.6,306
Collin,85,0035,850035,1668,2577,1486,9.4,93
Collin,85,0037,850037,1670,3967,2137,8.4,124
Collin,85,0042,850042,1675,3106,1608,11.8,55
Collin,85,0056,850056,1689,5895,4502,10.3,188
Collin,85,0083,850083,1716,6169,4583,9.0,343
Collin,85,0093,850093,1726,403,269,6.3,23
Collin,85,0100,850100,1733,94,30,26.7,2
Collin,85,0114,850114,1747,1971,1297,7.7,96
Collin,85,0133,850133,1766,4742,2557,9.8,133
Collin,85,0150,850150,1783,2210,1219,7.0,97
Collin,85,0154,850154,1787,1699,1012,5.6,123
Collin,85,0160,850160,1793,490,340,4.1,28
Collin,85,0161,850161,1794,443,284,4.9,31
Collin,85,0162,850162,1795,318,264,2.7,29
Collin,85,0170,850170,1803,2822,1717,9.6,92
Collin,85,0172,850172,1805,2053,1101,8.3,101
Collin,85,0174,850174,1807,7116,4050,12.2,303
Collin,85,0178,850178,1811,4198,2368,9.2,195
