County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Bell,27,0106,270106,194,Killeen City Council 1,Finley,,N,10
Bell,27,0109,270109,197,Killeen City Council 1,Finley,,N,4
Bell,27,0110,270110,198,Killeen City Council 1,Finley,,N,0
Bell,27,0116,270116,203,Killeen City Council 1,Finley,,N,1
Bell,27,0117,270117,204,Killeen City Council 1,Finley,,N,0
Bell,27,0201,270201,207,Killeen City Council 1,Finley,,N,2
Bell,27,0203,270203,209,Killeen City Council 2,Baumgartner,,N,19
Bell,27,0204,270204,210,Killeen City Council 1,Finley,,N,3
Bell,27,0205,270205,211,Killeen City Council 2,Baumgartner,,N,19
Bell,27,0206,270206,212,Killeen City Council 3,Cobb,,N,20
Bell,27,0206,270206,212,Killeen City Council 2,Baumgartner,,N,3
Bell,27,0207,270207,213,Killeen City Council 2,Baumgartner,,N,29
Bell,27,0208,270208,214,Killeen City Council 2,Baumgartner,,N,8
Bell,27,0209,270209,215,Killeen City Council 2,Baumgartner,,N,0
Bell,27,0210,270210,216,Killeen City Council 2,Baumgartner,,N,18
Bell,27,0211,270211,217,Killeen City Council 1,Finley,,N,3
Bell,27,0213,270213,219,Killeen City Council 2,Baumgartner,,N,19
Bell,27,0214,270214,220,Killeen City Council 2,Baumgartner,,N,22
Bell,27,0215,270215,221,Killeen City Council 2,Baumgartner,,N,12
Bell,27,0216,270216,222,Killeen City Council 1,Finley,,N,3
Bell,27,0401,270401,241,Killeen City Council 3,Cobb,,N,8
Bell,27,0402,270402,242,Killeen City Council 3,Cobb,,N,26
Bell,27,0404,270404,243,Killeen City Council 3,Cobb,,N,61
Bell,27,0405,270405,244,Killeen City Council 3,Cobb,,N,0
Bell,27,0406,270406,245,Killeen City Council 3,Cobb,,N,90
Bell,27,0408,270408,246,Killeen City Council 3,Cobb,,N,49
Bell,27,0409,270409,247,Killeen City Council 3,Cobb,,N,26
Bell,27,0410,270410,248,Killeen City Council 1,Finley,,N,3
Bell,27,0412,270412,249,Killeen City Council 3,Cobb,,N,9
Bell,27,0415,270415,252,Killeen City Council 3,Cobb,,N,48
Bell,27,0419,270419,253,Killeen City Council 3,Cobb,,N,28
Bell,27,0106,270106,194,Killeen City Council 1,Brown,,N,15
Bell,27,0109,270109,197,Killeen City Council 1,Brown,,N,17
Bell,27,0110,270110,198,Killeen City Council 1,Brown,,N,0
Bell,27,0116,270116,203,Killeen City Council 1,Brown,,N,12
Bell,27,0117,270117,204,Killeen City Council 1,Brown,,N,0
Bell,27,0201,270201,207,Killeen City Council 1,Brown,,N,11
Bell,27,0203,270203,209,Killeen City Council 2,Nash-King,,N,76
Bell,27,0204,270204,210,Killeen City Council 1,Brown,,N,8
Bell,27,0205,270205,211,Killeen City Council 2,Nash-King,,N,91
Bell,27,0206,270206,212,Killeen City Council 3,Alvarez,,N,11
Bell,27,0206,270206,212,Killeen City Council 2,Nash-King,,N,10
Bell,27,0207,270207,213,Killeen City Council 2,Nash-King,,N,56
Bell,27,0208,270208,214,Killeen City Council 2,Nash-King,,N,84
Bell,27,0209,270209,215,Killeen City Council 2,Nash-King,,N,2
Bell,27,0210,270210,216,Killeen City Council 2,Nash-King,,N,71
Bell,27,0211,270211,217,Killeen City Council 1,Brown,,N,2
Bell,27,0213,270213,219,Killeen City Council 2,Nash-King,,N,93
Bell,27,0214,270214,220,Killeen City Council 2,Nash-King,,N,44
Bell,27,0215,270215,221,Killeen City Council 2,Nash-King,,N,45
Bell,27,0216,270216,222,Killeen City Council 1,Brown,,N,1
Bell,27,0401,270401,241,Killeen City Council 3,Alvarez,,N,0
Bell,27,0402,270402,242,Killeen City Council 3,Alvarez,,N,7
Bell,27,0404,270404,243,Killeen City Council 3,Alvarez,,N,10
Bell,27,0405,270405,244,Killeen City Council 3,Alvarez,,N,0
Bell,27,0406,270406,245,Killeen City Council 3,Alvarez,,N,22
Bell,27,0408,270408,246,Killeen City Council 3,Alvarez,,N,15
Bell,27,0409,270409,247,Killeen City Council 3,Alvarez,,N,6
