County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bell,27,0101,270101,189,5847,3168,8.0,12
Bell,27,0102,270102,190,7127,4307,9.9,8
Bell,27,0103,270103,191,4551,2379,27.7,2
Bell,27,0104,270104,192,4960,3693,8.6,10
Bell,27,0105,270105,193,2732,1711,9.7,3
Bell,27,0106,270106,194,7834,4458,14.9,53
Bell,27,0107,270107,195,1067,597,20.9,0
Bell,27,0108,270108,196,2482,1721,9.8,2
Bell,27,0109,270109,197,5373,3166,14.1,40
Bell,27,0110,270110,198,10130,3314,13.0,8
Bell,27,0111,270111,199,5321,3322,11.7,9
Bell,27,0113,270113,200,7371,3966,18.3,7
Bell,27,0114,270114,201,5551,3316,12.0,6
Bell,27,0115,270115,202,6656,4544,7.9,12
Bell,27,0116,270116,203,3016,1700,16.0,21
Bell,27,0117,270117,204,0,0,0.0,0
Bell,27,0118,270118,205,3419,1836,7.0,5
Bell,27,0119,270119,206,4106,2273,14.6,6
Bell,27,0201,270201,207,6365,3284,12.6,15
Bell,27,0202,270202,208,7647,4781,11.0,10
Bell,27,0203,270203,209,4727,3556,8.6,39
Bell,27,0204,270204,210,4566,2312,14.7,17
Bell,27,0205,270205,211,9149,5225,15.2,58
Bell,27,0206,270206,212,4421,2731,14.2,36
Bell,27,0207,270207,213,6975,4114,16.3,51
Bell,27,0208,270208,214,7450,4964,15.7,46
Bell,27,0209,270209,215,6763,4538,11.5,10
Bell,27,0210,270210,216,6491,4076,13.0,48
Bell,27,0211,270211,217,2373,1165,11.9,12
Bell,27,0212,270212,218,1558,1246,10.0,4
Bell,27,0213,270213,219,5215,4153,5.1,44
Bell,27,0214,270214,220,7589,4658,14.2,48
Bell,27,0215,270215,221,7458,4923,12.3,37
Bell,27,0216,270216,222,5884,3703,11.7,13
Bell,27,0301,270301,223,6390,3982,11.0,10
Bell,27,0302,270302,224,8267,4971,13.0,14
Bell,27,0303,270303,225,8257,4899,17.5,6
Bell,27,0304,270304,226,506,331,12.1,0
Bell,27,0305,270305,227,3131,2257,10.2,4
Bell,27,0306,270306,228,7788,3790,22.6,6
Bell,27,0307,270307,229,7247,3591,22.1,6
Bell,27,0308,270308,230,7360,4281,11.2,10
Bell,27,0309,270309,231,1826,1335,8.1,2
Bell,27,0310,270310,232,750,522,6.3,0
Bell,27,0311,270311,233,4461,3115,8.3,5
Bell,27,0312,270312,234,3358,2161,14.1,2
Bell,27,0313,270313,235,6413,4495,8.8,12
Bell,27,0314,270314,236,6576,3375,17.8,5
Bell,27,0315,270315,237,6235,3645,16.6,7
Bell,27,0317,270317,238,2182,1537,9.4,3
Bell,27,0318,270318,239,7361,4633,12.8,10
Bell,27,0319,270319,240,5148,3278,10.3,7
Bell,27,0401,270401,241,5169,2934,12.4,6
Bell,27,0402,270402,242,8273,4725,13.3,22
Bell,27,0404,270404,243,9053,4830,16.2,52
Bell,27,0405,270405,244,10012,5209,15.5,12
Bell,27,0406,270406,245,7387,3620,14.8,59
Bell,27,0408,270408,246,9094,4900,14.7,43
Bell,27,0409,270409,247,3505,2173,14.3,19
Bell,27,0410,270410,248,8598,3601,17.1,21
Bell,27,0412,270412,249,7055,4098,13.4,10
Bell,27,0413,270413,250,8862,4469,13.5,9
Bell,27,0414,270414,251,9210,4950,14.5,8
Bell,27,0415,270415,252,7405,4197,13.3,41
Bell,27,0419,270419,253,1594,1162,7.7,13
Bexar,29,1001,291001,254,605,496,46.2,141
Bexar,29,1002,291002,255,1039,685,53.4,93
Bexar,29,1003,291003,256,3399,2263,60.2,360
Bexar,29,1004,291004,257,1689,940,81.8,143
Bexar,29,1005,291005,258,1516,857,84.9,114
Bexar,29,1006,291006,259,4005,2185,87.5,343
Bexar,29,1007,291007,260,2078,1309,87.4,243
Bexar,29,1008,291008,261,2587,1934,50.5,536
Bexar,29,1010,291010,263,910,641,70.7,143
Bexar,29,1011,291011,264,2169,1179,87.4,153
Bexar,29,1012,291012,265,4222,2289,66.6,273
