County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Ellis,139,1001,1391001,3272,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1002,1391002,3273,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1003,1391003,3274,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1004,1391004,3275,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1005,1391005,3276,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1006,1391006,3277,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1007,1391007,3278,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1008,1391008,3279,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1009,1391009,3280,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1010,1391010,3281,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1011,1391011,3282,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1012,1391012,3283,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1013,1391013,3284,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1014,1391014,3285,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1015,1391015,3286,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1016,1391016,3287,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1017,1391017,3288,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1018,1391018,3289,U.S. Rep 6,Ballantine,R,N,3
Ellis,139,1019,1391019,3290,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1020,1391020,3291,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1021,1391021,3292,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1022,1391022,3293,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1023,1391023,3294,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1024,1391024,3295,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1025,1391025,3296,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1026,1391026,3297,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1027,1391027,3298,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1028,1391028,3299,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1029,1391029,3300,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1030,1391030,3301,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1031,1391031,3302,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1032,1391032,3303,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1033,1391033,3304,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1034,1391034,3305,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1035,1391035,3306,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1036,1391036,3307,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1037,1391037,3308,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1038,1391038,3309,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1039,1391039,3310,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1040,1391040,3311,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1041,1391041,3312,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1042,1391042,3313,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1043,1391043,3314,U.S. Rep 6,Ballantine,R,N,2
Ellis,139,1044,1391044,3315,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1045,1391045,3316,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1046,1391046,3317,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1047,1391047,3318,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1048,1391048,3319,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1049,1391049,3320,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1050,1391050,3321,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1051,1391051,3322,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1052,1391052,3323,U.S. Rep 6,Ballantine,R,N,3
Ellis,139,1053,1391053,3324,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1054,1391054,3325,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1055,1391055,3326,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1056,1391056,3327,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1057,1391057,3328,U.S. Rep 6,Ballantine,R,N,1
Ellis,139,1058,1391058,3329,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1059,1391059,3330,U.S. Rep 6,Ballantine,R,N,0
Ellis,139,1001,1391001,3272,U.S. Rep 6,Bean,D,N,10
Ellis,139,1002,1391002,3273,U.S. Rep 6,Bean,D,N,0
Ellis,139,1003,1391003,3274,U.S. Rep 6,Bean,D,N,13
Ellis,139,1004,1391004,3275,U.S. Rep 6,Bean,D,N,0
Ellis,139,1005,1391005,3276,U.S. Rep 6,Bean,D,N,14
Ellis,139,1006,1391006,3277,U.S. Rep 6,Bean,D,N,13
Ellis,139,1007,1391007,3278,U.S. Rep 6,Bean,D,N,9
Ellis,139,1008,1391008,3279,U.S. Rep 6,Bean,D,N,0
Ellis,139,1009,1391009,3280,U.S. Rep 6,Bean,D,N,12
Ellis,139,1010,1391010,3281,U.S. Rep 6,Bean,D,N,9
Ellis,139,1011,1391011,3282,U.S. Rep 6,Bean,D,N,7
Ellis,139,1012,1391012,3283,U.S. Rep 6,Bean,D,N,19
Ellis,139,1013,1391013,3284,U.S. Rep 6,Bean,D,N,9
Ellis,139,1014,1391014,3285,U.S. Rep 6,Bean,D,N,7
Ellis,139,1015,1391015,3286,U.S. Rep 6,Bean,D,N,11
Ellis,139,1016,1391016,3287,U.S. Rep 6,Bean,D,N,6
Ellis,139,1017,1391017,3288,U.S. Rep 6,Bean,D,N,17
Ellis,139,1018,1391018,3289,U.S. Rep 6,Bean,D,N,10
Ellis,139,1019,1391019,3290,U.S. Rep 6,Bean,D,N,13
Ellis,139,1020,1391020,3291,U.S. Rep 6,Bean,D,N,7
Ellis,139,1021,1391021,3292,U.S. Rep 6,Bean,D,N,3
Ellis,139,1022,1391022,3293,U.S. Rep 6,Bean,D,N,9
Ellis,139,1023,1391023,3294,U.S. Rep 6,Bean,D,N,0
Ellis,139,1024,1391024,3295,U.S. Rep 6,Bean,D,N,14
Ellis,139,1025,1391025,3296,U.S. Rep 6,Bean,D,N,9
Ellis,139,1026,1391026,3297,U.S. Rep 6,Bean,D,N,14
Ellis,139,1027,1391027,3298,U.S. Rep 6,Bean,D,N,16
Ellis,139,1028,1391028,3299,U.S. Rep 6,Bean,D,N,6
Ellis,139,1029,1391029,3300,U.S. Rep 6,Bean,D,N,1
Ellis,139,1030,1391030,3301,U.S. Rep 6,Bean,D,N,11
Ellis,139,1031,1391031,3302,U.S. Rep 6,Bean,D,N,2
Ellis,139,1032,1391032,3303,U.S. Rep 6,Bean,D,N,7
Ellis,139,1033,1391033,3304,U.S. Rep 6,Bean,D,N,7
Ellis,139,1034,1391034,3305,U.S. Rep 6,Bean,D,N,20
Ellis,139,1035,1391035,3306,U.S. Rep 6,Bean,D,N,8
Ellis,139,1036,1391036,3307,U.S. Rep 6,Bean,D,N,18
Ellis,139,1037,1391037,3308,U.S. Rep 6,Bean,D,N,6
Ellis,139,1038,1391038,3309,U.S. Rep 6,Bean,D,N,12
Ellis,139,1039,1391039,3310,U.S. Rep 6,Bean,D,N,13
Ellis,139,1040,1391040,3311,U.S. Rep 6,Bean,D,N,2
Ellis,139,1041,1391041,3312,U.S. Rep 6,Bean,D,N,5
Ellis,139,1042,1391042,3313,U.S. Rep 6,Bean,D,N,2
Ellis,139,1043,1391043,3314,U.S. Rep 6,Bean,D,N,18
Ellis,139,1044,1391044,3315,U.S. Rep 6,Bean,D,N,3
Ellis,139,1045,1391045,3316,U.S. Rep 6,Bean,D,N,0
Ellis,139,1046,1391046,3317,U.S. Rep 6,Bean,D,N,1
Ellis,139,1047,1391047,3318,U.S. Rep 6,Bean,D,N,2
Ellis,139,1048,1391048,3319,U.S. Rep 6,Bean,D,N,9
