County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bee,25,0001,250001,176,3209,2170,55.8,191
Bee,25,0002,250002,177,619,528,37.3,47
Bee,25,0003,250003,178,10625,1767,58.0,117
Bee,25,0004,250004,179,861,613,39.5,50
Bee,25,0005,250005,180,1126,902,39.5,82
Bee,25,0006,250006,181,1619,1262,51.3,97
Bee,25,0009,250009,182,1015,724,86.0,66
Bee,25,0010,250010,183,2838,1482,76.7,41
Bee,25,0013,250013,184,2097,1549,56.2,154
Bee,25,0016,250016,185,1760,1039,55.8,123
Bee,25,0017,250017,186,1839,1145,64.5,110
Bee,25,0018,250018,187,2417,1716,38.1,229
Bee,25,0019,250019,188,1022,594,80.3,23
Cameron,61,0001,610001,1416,2059,1269,60.8,288
Cameron,61,0002,610002,1417,905,548,43.4,98
Cameron,61,0003,610003,1418,9059,4954,77.3,353
Cameron,61,0004,610004,1419,4167,2765,59.5,415
Cameron,61,0005,610005,1420,4596,2560,66.7,212
Cameron,61,0006,610006,1421,2327,1242,86.2,33
Cameron,61,0007,610007,1422,3794,2248,77.5,160
Cameron,61,0008,610008,1423,1137,581,87.1,25
Cameron,61,0009,610009,1424,7653,3541,85.7,117
Cameron,61,0010,610010,1425,5030,3098,92.9,73
Cameron,61,0011,610011,1426,3929,2261,87.4,105
Cameron,61,0012,610012,1427,4506,2475,74.9,265
Cameron,61,0013,610013,1428,1443,745,82.7,56
Cameron,61,0014,610014,1429,6172,3079,88.0,110
Cameron,61,0015,610015,1430,3389,2095,76.4,235
Cameron,61,0016,610016,1431,1299,739,59.8,84
Cameron,61,0017,610017,1432,12415,4891,88.0,219
Cameron,61,0018,610018,1433,4823,2545,89.9,141
Cameron,61,0019,610019,1434,4132,1794,85.2,126
Cameron,61,0020,610020,1435,2301,1511,83.2,194
Cameron,61,0021,610021,1436,1855,975,89.2,72
Cameron,61,0022,610022,1437,4450,2642,89.5,163
Cameron,61,0023,610023,1438,566,277,77.6,24
Cameron,61,0024,610024,1439,2908,1323,89.9,77
Cameron,61,0025,610025,1440,1819,874,87.8,103
Cameron,61,0026,610026,1441,3334,1858,71.6,248
Cameron,61,0027,610027,1442,4715,2718,91.0,389
Cameron,61,0028,610028,1443,4531,2041,80.3,187
Cameron,61,0029,610029,1444,3179,1963,59.3,343
Cameron,61,0030,610030,1445,2759,1136,59.4,153
Cameron,61,0031,610031,1446,595,304,72.7,53
Cameron,61,0032,610032,1447,5523,2584,67.7,300
Cameron,61,0033,610033,1448,1897,769,83.4,74
Cameron,61,0034,610034,1449,2884,1755,56.8,219
Cameron,61,0035,610035,1450,2268,1238,61.2,238
Cameron,61,0036,610036,1451,4106,2215,67.0,288
Cameron,61,0037,610037,1452,4675,2463,87.6,97
Cameron,61,0038,610038,1453,779,654,59.5,184
Cameron,61,0039,610039,1454,2824,1415,88.8,128
Cameron,61,0040,610040,1455,4865,2534,77.5,214
