County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
McLennan,309,0001,3090001,6656,State Rep 56,Curry,R,N,55
McLennan,309,0003,3090003,6658,State Rep 56,Curry,R,N,781
McLennan,309,0004,3090004,6659,State Rep 56,Curry,R,N,50
McLennan,309,0007,3090007,6662,State Rep 56,Curry,R,N,301
McLennan,309,0008,3090008,6663,State Rep 56,Curry,R,N,280
McLennan,309,0011,3090011,6666,State Rep 56,Curry,R,N,1139
McLennan,309,0016,3090016,6671,State Rep 56,Curry,R,N,934
McLennan,309,0019,3090019,6674,State Rep 56,Curry,R,N,1785
McLennan,309,0023,3090023,6678,State Rep 56,Curry,R,N,1859
McLennan,309,0025,3090025,6680,State Rep 56,Curry,R,N,331
McLennan,309,0026,3090026,6681,State Rep 56,Curry,R,N,166
McLennan,309,0028,3090028,6683,State Rep 56,Curry,R,N,337
McLennan,309,0029,3090029,6684,State Rep 56,Curry,R,N,174
McLennan,309,0030,3090030,6685,State Rep 56,Curry,R,N,567
McLennan,309,0031,3090031,6686,State Rep 56,Curry,R,N,729
McLennan,309,0032,3090032,6687,State Rep 56,Curry,R,N,486
McLennan,309,0033,3090033,6688,State Rep 56,Curry,R,N,669
McLennan,309,0034,3090034,6689,State Rep 56,Curry,R,N,572
McLennan,309,0035,3090035,6690,State Rep 56,Curry,R,N,226
McLennan,309,0036,3090036,6691,State Rep 56,Curry,R,N,484
McLennan,309,0037,3090037,6692,State Rep 56,Curry,R,N,248
McLennan,309,0038,3090038,6693,State Rep 56,Curry,R,N,169
McLennan,309,0039,3090039,6694,State Rep 56,Curry,R,N,140
McLennan,309,0040,3090040,6695,State Rep 56,Curry,R,N,771
McLennan,309,0041,3090041,6696,State Rep 56,Curry,R,N,521
McLennan,309,0042,3090042,6697,State Rep 56,Curry,R,N,246
McLennan,309,0044,3090044,6699,State Rep 56,Curry,R,N,2446
McLennan,309,0045,3090045,6700,State Rep 56,Curry,R,N,148
McLennan,309,0046,3090046,6701,State Rep 56,Curry,R,N,52
McLennan,309,0047,3090047,6702,State Rep 56,Curry,R,N,118
McLennan,309,0048,3090048,6703,State Rep 56,Curry,R,N,105
McLennan,309,0049,3090049,6704,State Rep 56,Curry,R,N,131
McLennan,309,0050,3090050,6705,State Rep 56,Curry,R,N,310
McLennan,309,0051,3090051,6706,State Rep 56,Curry,R,N,2064
McLennan,309,0052,3090052,6707,State Rep 56,Curry,R,N,427
McLennan,309,0053A,3090053A,6708,State Rep 56,Curry,R,N,34
McLennan,309,0053B,3090053B,6709,State Rep 56,Curry,R,N,0
McLennan,309,0054,3090054,6710,State Rep 56,Curry,R,N,1152
McLennan,309,0055,3090055,6711,State Rep 56,Curry,R,N,2410
McLennan,309,0056,3090056,6712,State Rep 56,Curry,R,N,188
McLennan,309,0058,3090058,6714,State Rep 56,Curry,R,N,1009
McLennan,309,0059,3090059,6715,State Rep 56,Curry,R,N,2179
McLennan,309,0060,3090060,6716,State Rep 56,Curry,R,N,1914
McLennan,309,0061,3090061,6717,State Rep 56,Curry,R,N,1615
McLennan,309,0062,3090062,6718,State Rep 56,Curry,R,N,1580
McLennan,309,0063,3090063,6719,State Rep 56,Curry,R,N,2719
McLennan,309,0064,3090064,6720,State Rep 56,Curry,R,N,504
McLennan,309,0065,3090065,6721,State Rep 56,Curry,R,N,794
McLennan,309,0066,3090066,6722,State Rep 56,Curry,R,N,866
McLennan,309,0067,3090067,6723,State Rep 56,Curry,R,N,1881
McLennan,309,0073,3090073,6729,State Rep 56,Curry,R,N,670
McLennan,309,0074,3090074,6730,State Rep 56,Curry,R,N,519
McLennan,309,0075,3090075,6731,State Rep 56,Curry,R,N,2218
McLennan,309,0076,3090076,6732,State Rep 56,Curry,R,N,1380
McLennan,309,0077,3090077,6733,State Rep 56,Curry,R,N,1065
McLennan,309,0078,3090078,6734,State Rep 56,Curry,R,N,2101
McLennan,309,0079,3090079,6735,State Rep 56,Curry,R,N,710
McLennan,309,0080A,3090080A,6736,State Rep 56,Curry,R,N,1776
McLennan,309,0080B,3090080B,6737,State Rep 56,Curry,R,N,0
McLennan,309,0081,3090081,6738,State Rep 56,Curry,R,N,2722
McLennan,309,0082,3090082,6739,State Rep 56,Curry,R,N,1703
McLennan,309,0083,3090083,6740,State Rep 56,Curry,R,N,344
McLennan,309,0084,3090084,6741,State Rep 56,Curry,R,N,1140
McLennan,309,0091,3090091,6748,State Rep 56,Curry,R,N,987
McLennan,309,0001,3090001,6656,State Rep 56,Shank,D,N,88
McLennan,309,0003,3090003,6658,State Rep 56,Shank,D,N,604
McLennan,309,0004,3090004,6659,State Rep 56,Shank,D,N,41
McLennan,309,0007,3090007,6662,State Rep 56,Shank,D,N,441
McLennan,309,0008,3090008,6663,State Rep 56,Shank,D,N,421
McLennan,309,0011,3090011,6666,State Rep 56,Shank,D,N,586
McLennan,309,0016,3090016,6671,State Rep 56,Shank,D,N,632
McLennan,309,0019,3090019,6674,State Rep 56,Shank,D,N,861
McLennan,309,0023,3090023,6678,State Rep 56,Shank,D,N,797
McLennan,309,0025,3090025,6680,State Rep 56,Shank,D,N,481
McLennan,309,0026,3090026,6681,State Rep 56,Shank,D,N,205
McLennan,309,0028,3090028,6683,State Rep 56,Shank,D,N,340
McLennan,309,0029,3090029,6684,State Rep 56,Shank,D,N,199
McLennan,309,0030,3090030,6685,State Rep 56,Shank,D,N,583
McLennan,309,0031,3090031,6686,State Rep 56,Shank,D,N,624
McLennan,309,0032,3090032,6687,State Rep 56,Shank,D,N,287
McLennan,309,0033,3090033,6688,State Rep 56,Shank,D,N,460
McLennan,309,0034,3090034,6689,State Rep 56,Shank,D,N,400
McLennan,309,0035,3090035,6690,State Rep 56,Shank,D,N,296
McLennan,309,0036,3090036,6691,State Rep 56,Shank,D,N,306
McLennan,309,0037,3090037,6692,State Rep 56,Shank,D,N,276
McLennan,309,0038,3090038,6693,State Rep 56,Shank,D,N,213
McLennan,309,0039,3090039,6694,State Rep 56,Shank,D,N,245
McLennan,309,0040,3090040,6695,State Rep 56,Shank,D,N,604
McLennan,309,0041,3090041,6696,State Rep 56,Shank,D,N,457
McLennan,309,0042,3090042,6697,State Rep 56,Shank,D,N,349
McLennan,309,0044,3090044,6699,State Rep 56,Shank,D,N,815
McLennan,309,0045,3090045,6700,State Rep 56,Shank,D,N,148
McLennan,309,0046,3090046,6701,State Rep 56,Shank,D,N,94
McLennan,309,0047,3090047,6702,State Rep 56,Shank,D,N,182
McLennan,309,0048,3090048,6703,State Rep 56,Shank,D,N,131
McLennan,309,0049,3090049,6704,State Rep 56,Shank,D,N,131
McLennan,309,0050,3090050,6705,State Rep 56,Shank,D,N,358
McLennan,309,0051,3090051,6706,State Rep 56,Shank,D,N,1113
McLennan,309,0052,3090052,6707,State Rep 56,Shank,D,N,259
McLennan,309,0053A,3090053A,6708,State Rep 56,Shank,D,N,20
McLennan,309,0053B,3090053B,6709,State Rep 56,Shank,D,N,0
McLennan,309,0054,3090054,6710,State Rep 56,Shank,D,N,566
McLennan,309,0055,3090055,6711,State Rep 56,Shank,D,N,1090
McLennan,309,0056,3090056,6712,State Rep 56,Shank,D,N,223
McLennan,309,0058,3090058,6714,State Rep 56,Shank,D,N,680
McLennan,309,0059,3090059,6715,State Rep 56,Shank,D,N,682
McLennan,309,0060,3090060,6716,State Rep 56,Shank,D,N,732
McLennan,309,0061,3090061,6717,State Rep 56,Shank,D,N,725
McLennan,309,0062,3090062,6718,State Rep 56,Shank,D,N,909
McLennan,309,0063,3090063,6719,State Rep 56,Shank,D,N,947
McLennan,309,0064,3090064,6720,State Rep 56,Shank,D,N,161
McLennan,309,0065,3090065,6721,State Rep 56,Shank,D,N,142
McLennan,309,0066,3090066,6722,State Rep 56,Shank,D,N,158
McLennan,309,0067,3090067,6723,State Rep 56,Shank,D,N,321
McLennan,309,0073,3090073,6729,State Rep 56,Shank,D,N,115
McLennan,309,0074,3090074,6730,State Rep 56,Shank,D,N,99
McLennan,309,0075,3090075,6731,State Rep 56,Shank,D,N,487
McLennan,309,0076,3090076,6732,State Rep 56,Shank,D,N,323
McLennan,309,0077,3090077,6733,State Rep 56,Shank,D,N,188
McLennan,309,0078,3090078,6734,State Rep 56,Shank,D,N,683
McLennan,309,0079,3090079,6735,State Rep 56,Shank,D,N,232
McLennan,309,0080A,3090080A,6736,State Rep 56,Shank,D,N,197
McLennan,309,0080B,3090080B,6737,State Rep 56,Shank,D,N,0
McLennan,309,0081,3090081,6738,State Rep 56,Shank,D,N,617
McLennan,309,0082,3090082,6739,State Rep 56,Shank,D,N,438
McLennan,309,0083,3090083,6740,State Rep 56,Shank,D,N,89
McLennan,309,0084,3090084,6741,State Rep 56,Shank,D,N,439
McLennan,309,0091,3090091,6748,State Rep 56,Shank,D,N,472

