County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Anderson,1,0001,10001,1,3153,1827,11.2,19
Anderson,1,0002,10002,2,3811,2762,4.0,32
Anderson,1,0003,10003,3,1925,1251,6.7,13
Anderson,1,0004,10004,4,2306,1643,3.7,22
Anderson,1,0005,10005,5,405,293,2.0,1
Anderson,1,0006,10006,6,2173,1464,9.8,12
Anderson,1,0007,10007,7,2928,1295,19.8,5
Anderson,1,0008,10008,8,926,405,18.3,4
Anderson,1,0009,10009,9,2131,1452,5.9,20
Anderson,1,0010,10010,10,6985,585,8.2,11
Anderson,1,0011,10011,11,8669,1276,5.4,21
Anderson,1,0013,10013,12,3109,1815,11.9,68
Anderson,1,0015,10015,13,1317,920,5.1,101
Anderson,1,0016,10016,14,1184,971,5.8,57
Anderson,1,0017,10017,15,1371,851,10.0,38
Anderson,1,0018,10018,16,2845,2201,3.7,90
Anderson,1,0019,10019,17,3467,2296,10.5,42
Anderson,1,0020,10020,18,2048,1169,14.5,18
Anderson,1,0021,10021,19,2772,1945,8.1,38
Anderson,1,0022,10022,20,1434,1056,5.7,19
Anderson,1,0023,10023,21,1689,1349,2.7,79
Anderson,1,0024,10024,22,1274,908,3.4,11
Archer,9,0001,90001,75,1984,1448,3.1,90
Archer,9,0002,90002,76,1060,893,2.9,56
Archer,9,0003,90003,77,528,374,6.4,20
Archer,9,0004,90004,78,911,723,7.7,44
Archer,9,0005,90005,79,211,199,3.0,19
Archer,9,0006,90006,80,1595,1137,3.5,242
Archer,9,0007,90007,81,292,221,3.6,52
Archer,9,0008,90008,82,371,387,3.9,25
Archer,9,0009,90009,83,191,181,2.2,7
Archer,9,0010,90010,84,1088,918,5.4,71
Archer,9,0011,90011,85,27,22,4.5,0
Archer,9,0012,90012,86,113,96,10.4,6
Archer,9,0013,90013,87,189,180,4.4,30
Atascosa,13,0001,130001,96,1305,944,37.6,146
Atascosa,13,0003,130003,97,2719,1571,47.3,160
Atascosa,13,0004,130004,98,2141,1137,59.4,27
Atascosa,13,0005,130005,99,3398,1699,66.0,71
Atascosa,13,0006,130006,100,712,510,49.8,51
Atascosa,13,0007,130007,101,3502,2009,60.0,102
Atascosa,13,0008,130008,102,900,573,47.5,67
Atascosa,13,0009,130009,103,5009,2611,61.0,116
Atascosa,13,0010,130010,104,958,750,57.1,75
Atascosa,13,0011,130011,105,2789,1901,52.2,92
Atascosa,13,0012,130012,106,2271,1496,60.7,77
Atascosa,13,0013,130013,107,4248,2753,44.1,344
Atascosa,13,0014,130014,108,259,215,28.8,43
Atascosa,13,0015,130015,109,4280,2678,60.6,186
Atascosa,13,0017,130017,110,3226,2092,77.5,128
Atascosa,13,0018,130018,111,2503,1856,60.0,159
Atascosa,13,0019,130019,112,692,526,47.0,55
Atascosa,13,0020,130020,113,5696,3812,33.4,852
Atascosa,13,0021,130021,114,1384,1035,34.1,143
Atascosa,13,0022,130022,115,989,794,34.6,104
Austin,15,0101,150101,116,2253,1446,10.8,40
Austin,15,0102,150102,117,1865,1488,11.9,36
Austin,15,0103,150103,118,1960,1456,7.0,58
Austin,15,0104,150104,119,1168,890,12.4,35
Austin,15,0205,150205,120,3961,2814,7.5,96
Austin,15,0206,150206,121,1613,1409,4.9,38
Austin,15,0207,150207,122,958,763,7.1,37
Austin,15,0208,150208,123,818,673,5.2,26
Austin,15,0309,150309,124,860,680,9.0,22
Austin,15,0310,150310,125,4389,2975,18.3,45
Austin,15,0311,150311,126,2349,1150,35.3,20
Austin,15,0412,150412,127,908,666,14.6,6
Austin,15,0413,150413,128,2303,1509,17.0,31
Austin,15,0414,150414,129,2438,1843,26.7,23
Austin,15,0415,150415,130,2324,1575,23.2,29
Bell,27,0101,270101,189,5847,3992,9.5,213
Bell,27,0102,270102,190,7127,3352,11.2,131
Bell,27,0103,270103,191,4551,2527,28.0,53
Bell,27,0104,270104,192,4960,3712,8.7,161
Bell,27,0105,270105,193,2732,1814,10.6,44
Bell,27,0106,270106,194,7834,4321,14.6,33
Bell,27,0107,270107,195,1067,623,19.6,13
Bell,27,0108,270108,196,2482,1847,9.4,58
Bell,27,0109,270109,197,5373,2956,13.6,14
Bell,27,0110,270110,198,10130,2985,14.6,7
Bell,27,0111,270111,199,5321,4370,12.6,77
Bell,27,0113,270113,200,7371,4343,18.9,113
Bell,27,0114,270114,201,5551,3135,13.1,58
Bell,27,0115,270115,202,6656,5135,8.5,135
Bell,27,0116,270116,203,3016,1563,16.6,11
Bell,27,0117,270117,204,0,0,0.0,0
Bell,27,0118,270118,205,3419,2606,9.1,123
Bell,27,0119,270119,206,4106,3567,15.4,75
Bell,27,0201,270201,207,6365,3649,13.8,40
Bell,27,0202,270202,208,7647,4728,12.9,76
Bell,27,0203,270203,209,4727,4446,9.2,151
Bell,27,0204,270204,210,4566,2171,15.6,4
Bell,27,0205,270205,211,9149,5038,16.1,39
