FID,OBJECTID,Place,Name,cdp_name,citycode,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
0,1,1060,Abram,Abram,1060,17,1,1085,1108,807,3,1086,1091,17,785,786,2,0,790,15323.350727400000324,8053107.666880000382662
1,2,1084,Acala,Acala,1084,0,0,11,11,10,0,11,11,0,10,10,0,0,10,10828.011662299999443,7328542.782929999753833
2,3,1390,Agua Dulce,Agua Dulce,1390,48,7,3149,3218,2190,14,3158,3170,32,2143,2150,9,5,2158,25802.612457399998675,20109586.523600000888109
3,4,1420,Aguilares,Aguilares,1420,1,0,5,6,3,0,5,5,1,2,2,0,0,2,5146.931278740000380,776990.898450999986380
4,5,1500,Airport Heights,Airport Heights,1500,10,0,141,151,107,0,141,141,8,99,99,0,0,99,1826.372050660000014,102743.690598999994108
5,6,1514,Airport Road Addition,Airport Road Addition,1514,3,0,90,96,78,0,90,93,1,74,74,0,0,77,11505.763166200000342,5477747.350840000435710
6,7,1594,Alamo Beach,Alamo Beach,1594,187,4,47,254,215,8,50,67,167,30,32,3,4,48,8789.956918800000494,2289552.080500000156462
7,8,1612,Alanreed,Alanreed,1612,23,0,0,23,23,0,0,0,23,0,0,0,0,0,5007.925479550000091,1192949.170320000033826
8,9,1696,Aldine,Aldine,1696,1288,252,13984,15999,11011,463,14369,14711,1089,9353,9640,334,221,9922,21482.852454299998499,20341073.560199998319149
9,10,1816,Alfred,Alfred,1816,26,1,53,82,66,4,56,56,20,43,46,3,0,46,7587.463072960000318,3222889.446119999978691
10,11,1858,Alice Acres,Alice Acres,1858,35,5,403,465,345,12,410,430,31,293,300,8,5,314,16370.376804499999707,15257907.856699999421835
11,12,2032,Allison,Allison,2032,117,0,5,125,92,2,6,8,90,0,0,0,0,2,9783.280901419999282,5285953.470630000345409
12,13,2194,Alto Bonito Heights,Alto Bonito Heights,2194,1,0,295,296,221,0,295,295,0,221,221,0,0,221,1537.512271909999981,133655.767002000007778
13,14,2286,Amada Acres,Amada Acres,2286,1,1,78,79,59,0,78,78,1,58,58,0,0,58,2017.424032390000093,187675.493449000001419
14,15,2290,Amargosa,Amargosa,2290,10,0,293,305,205,3,295,295,10,194,195,2,0,195,8885.069962449999366,3941492.206189999822527
15,16,3008,Amaya,Amaya,3008,2,0,102,108,61,5,105,106,2,59,59,0,0,59,3764.006427859999803,593840.590349999954924
16,17,3096,Amistad,Amistad,3096,16,2,6,24,20,1,6,8,16,3,3,0,1,4,20327.335065899998881,3898619.351360000204295
17,18,3126,Anacua,Anacua,3126,0,0,23,24,17,0,23,24,0,16,16,0,0,17,1145.819177470000113,69007.869470499994350
18,19,4174,Arroyo Colorado Estates,Arroyo Colorado Estates,4174,18,0,812,833,581,1,812,815,16,562,562,1,0,565,7318.102944260000186,2852381.480789999943227
19,20,4176,Arroyo Gardens,Arroyo Gardens,4176,44,1,373,420,312,2,374,376,34,276,277,1,1,278,16671.002526000000216,10346514.496500000357628
20,21,4462,Atascocita,Atascocita,4462,34319,3919,26776,88174,63230,22361,48162,53855,26483,17688,32659,15408,2741,36747,106345.199280999993789,61990133.294799998402596
21,22,5180,Bacliff,Bacliff,5180,4606,279,3962,9677,7117,627,4558,5071,3771,2545,2922,393,226,3346,13269.831979799999317,6561161.410729999653995
22,23,5520,B and E,B and E,5520,13,0,475,489,316,0,475,476,8,307,307,0,0,308,2626.861478570000145,181013.209382000000915
23,24,5576,Banquete,Banquete,5576,55,2,679,745,568,13,687,690,44,515,522,11,0,524,12261.744587699999101,6087605.779000000096858
24,25,5648,Barksdale,Barksdale,5648,81,1,7,91,73,3,9,10,65,5,7,3,1,8,8652.262069360000169,2304766.080630000215024
25,26,5690,Barrera,Barrera,5690,7,1,114,122,92,0,114,115,3,88,88,0,1,89,1053.480577410000024,64892.014151299998048
26,27,5696,Barrett,Barrett,5696,554,36,2190,5223,3651,2427,4583,4669,412,1312,3183,1893,25,3239,23103.175829399999202,17075503.917899999767542
27,28,5750,Barton Creek,Barton Creek,5750,2736,197,306,3356,2813,57,358,620,2364,217,256,39,142,449,21743.053302500000427,12644088.413100000470877
