FID,FIPS,CNTYKEY,FENAME,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
0,001,1,ANDERSON,33098,543,11111,57922,47381,12253,23107,24824,27667,8350,18374,10146,396,19714,373745.841489000013098,2780466171.219999790191650
1,003,2,ANDREWS,7405,153,10400,18610,12948,376,10683,11205,5636,6731,6942,247,99,7312,256976.117571999988286,3872734262.099999904632568
2,005,3,ANGELINA,49970,1169,19732,86395,65058,14115,33448,36425,40104,12872,22687,9968,857,24954,344349.841497000015806,2230237449.000000000000000
3,007,4,ARANSAS,15816,655,6158,23830,19816,394,6486,8014,13935,4397,4622,253,495,5881,200974.380757000006270,1365528987.339999914169312
4,009,5,ARCHER,7356,74,742,8560,6612,106,831,1204,5811,474,528,64,48,801,195629.480336000007810,2391373468.460000038146973
5,011,6,ARMSTRONG,1593,28,144,1848,1427,34,162,255,1258,85,94,17,19,169,194691.746327000000747,2367077763.639999866485596
6,013,7,ATASCOSA,16066,396,31178,48981,35983,736,31684,32915,12906,21784,22137,462,268,23077,234917.631881999986945,3155154583.099999904632568
7,015,8,AUSTIN,18480,304,8052,30167,23157,2791,10630,11687,15123,5357,7231,1949,218,8034,258067.187321000004886,1693652849.450000047683716
8,017,9,BAILEY,2190,19,4540,6904,4838,91,4600,4714,1782,2946,2980,41,10,3056,187537.663850999990245,2139928594.109999895095825
9,019,10,BANDERA,15595,219,4010,20851,17349,270,4247,5256,13395,2948,3114,181,158,3954,212446.627299999992829,2058459410.440000057220459
10,021,11,BASTROP,45751,1287,41484,97216,73027,6873,47762,51465,38286,27108,31839,4966,871,34741,189802.963125999987824,2310474043.460000038146973
11,023,12,BAYLOR,2797,22,439,3465,2636,113,534,668,2212,275,329,59,6,424,193030.487606000009691,2328013531.119999885559082
12,025,13,BEE,8600,307,19392,31047,25022,2558,21804,22447,7344,14920,17161,2303,264,17678,232989.475811999989673,2275617810.539999961853027
13,027,14,BELL,156780,18271,93467,370647,272163,100605,184933,213867,126124,61176,124418,67479,12891,146039,220484.790691000001971,2811804074.210000038146973
14,029,15,BEXAR,535732,94562,1190958,2009324,1512388,196197,1358765,1473592,446153,854043,978732,137826,67952,1066235,284421.576745000027586,3242355559.809999942779541
15,031,16,BLANCO,8707,100,2092,11374,9421,123,2196,2667,7461,1514,1598,98,72,1960,175703.952140999987023,1840387346.309999942779541
16,033,17,BORDEN,528,14,86,631,471,16,95,103,414,53,56,6,5,57,193560.113821000006283,2338400256.320000171661377
17,035,18,BOSQUE,13621,148,3321,18235,14456,503,3737,4614,11392,2148,2422,305,88,3064,257781.621928999986267,2585929320.730000019073486
